date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2002-06-06,3.15,3.22,3.143,3.204,0,2002,6,6
2002-06-09,3.16,3.2,3.12,3.135,0,2002,6,9
2002-06-10,3.1,3.18,3.085,3.132,0,2002,6,10
2002-06-11,3.14,3.17,3.05,3.057,0,2002,6,11
2002-06-12,3.05,3.26,3.05,3.211,0,2002,6,12
2002-06-13,3.19,3.35,3.185,3.345,0,2002,6,13
2002-06-16,3.425,3.47,3.35,3.377,0,2002,6,16
2002-06-17,3.325,3.48,3.29,3.312,0,2002,6,17
2002-06-18,3.3,3.415,3.275,3.314,0,2002,6,18
2002-06-19,3.365,3.375,3.16,3.216,0,2002,6,19
2002-06-20,3.225,3.25,3.16,3.237,0,2002,6,20
2002-06-23,3.482,3.52,3.482,3.515,0,2002,6,23
2002-06-24,3.485,3.492,3.485,3.49,0,2002,6,24
2002-06-25,3.45,3.54,3.285,3.35,0,2002,6,25
2002-06-26,3.3,3.36,3.2,3.236,0,2002,6,26
2002-06-27,3.255,3.295,3.205,3.245,0,2002,6,27
2002-06-30,3.26,3.285,3.185,3.192,0,2002,6,30
2002-07-01,3.17,3.19,3.125,3.145,0,2002,7,1
2002-07-02,3.155,3.185,3.12,3.142,0,2002,7,2
2002-07-07,3.05,3.11,2.93,2.939,0,2002,7,7
2002-07-08,2.97,3.01,2.94,2.991,0,2002,7,8
2002-07-09,3.015,3.08,2.85,2.864,0,2002,7,9
2002-07-10,2.83,3.045,2.76,2.83,0,2002,7,10
2002-07-11,2.885,3.045,2.705,2.787,0,2002,7,11
2002-07-14,2.79,2.86,2.76,2.784,0,2002,7,14
2002-07-15,2.86,2.92,2.78,2.863,0,2002,7,15
2002-07-16,2.935,2.953,2.78,2.841,0,2002,7,16
2002-07-17,2.975,3.02,2.83,2.943,0,2002,7,17
2002-07-18,2.97,3.019,2.83,2.933,0,2002,7,18
2002-07-21,2.98,3.0,2.865,2.947,0,2002,7,21
2002-07-22,2.93,2.975,2.88,2.889,0,2002,7,22
2002-07-23,2.87,3.05,2.8,3.042,0,2002,7,23
2002-07-24,3.05,3.099,2.86,2.895,0,2002,7,24
2002-07-25,2.91,2.925,2.82,2.88,0,2002,7,25
2002-07-28,2.935,3.09,2.88,2.905,0,2002,7,28
2002-07-29,2.93,2.93,2.85,2.891,0,2002,7,29
2002-07-30,2.95,3.04,2.885,2.954,0,2002,7,30
2002-07-31,2.98,3.028,2.82,2.842,0,2002,7,31
2002-08-01,2.845,2.9,2.825,2.858,0,2002,8,1
2002-08-04,2.73,2.86,2.67,2.67,0,2002,8,4
2002-08-05,2.72,2.745,2.671,2.716,0,2002,8,5
2002-08-06,2.66,2.745,2.64,2.66,0,2002,8,6
2002-08-07,2.68,2.81,2.666,2.745,0,2002,8,7
2002-08-08,2.76,2.8,2.749,2.761,0,2002,8,8
2002-08-11,2.835,2.98,2.76,2.965,0,2002,8,11
2002-08-12,2.93,3.015,2.91,2.975,0,2002,8,12
2002-08-13,3.0,3.04,2.9,2.91,0,2002,8,13
2002-08-14,2.885,3.13,2.877,3.135,0,2002,8,14
