date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2007-10-08,5717.564,5728.291,5688.462,5692.755,44575535,2007,10,8
2007-10-09,5678.913,5724.753,5638.073,5715.892,84610489,2007,10,9
2007-10-10,5742.648,5855.823,5734.123,5771.464,90844872,2007,10,10
2007-10-11,5798.386,5914.139,5757.721,5913.23,94009301,2007,10,11
2007-10-12,5950.902,5954.704,5662.215,5903.264,119148135,2007,10,12
2007-10-15,5934.775,6037.387,5867.103,6030.086,98707247,2007,10,15
2007-10-16,6056.946,6122.683,6043.289,6092.057,87271753,2007,10,16
2007-10-17,6057.428,6087.461,5990.162,6036.281,71312510,2007,10,17
2007-10-18,6031.916,6054.007,5809.065,5825.282,68647498,2007,10,18
2007-10-19,5869.124,5927.994,5767.906,5818.047,56410064,2007,10,19
2007-10-22,5742.791,5804.18,5656.347,5667.332,52478443,2007,10,22
2007-10-23,5660.066,5775.655,5575.833,5773.387,59665945,2007,10,23
2007-10-24,5840.846,5903.188,5834.148,5843.109,30223302,2007,10,24
2007-10-25,5794.223,5814.974,5548.808,5562.394,71714397,2007,10,25
2007-10-26,5562.357,5627.864,5466.991,5589.631,53444123,2007,10,26
2007-10-29,5641.983,5749.375,5622.991,5747.997,51096395,2007,10,29
2007-10-30,5769.203,5897.834,5708.58,5897.193,54278812,2007,10,30
2007-10-31,5984.713,5986.904,5875.64,5954.765,70349454,2007,10,31
2007-11-01,5954.765,6004.688,5914.182,5914.285,66065080,2007,11,1
2007-11-02,5812.465,5860.594,5744.744,5777.809,59541559,2007,11,2
2007-11-05,5748.176,5785.278,5605.635,5634.452,64132554,2007,11,5
2007-11-06,5593.347,5648.514,5512.668,5536.569,44615594,2007,11,6
2007-11-07,5565.648,5607.95,5471.264,5601.783,42730319,2007,11,7
2007-11-08,5601.783,5601.783,5329.839,5330.023,49152951,2007,11,8
2007-11-09,5276.008,5381.243,5220.11,5315.54,47341251,2007,11,9
2007-11-12,5181.175,5248.894,5036.093,5187.735,52582703,2007,11,12
2007-11-13,5239.343,5311.406,5093.274,5158.118,49237305,2007,11,13
2007-11-14,5246.574,5412.694,5169.536,5412.694,50992871,2007,11,14
2007-11-15,5391.017,5451.641,5342.906,5365.267,47819419,2007,11,15
2007-11-16,5273.082,5333.595,5226.882,5316.274,38174289,2007,11,16
2007-11-19,5325.302,5325.302,5241.593,5269.817,41097731,2007,11,19
2007-11-20,5230.742,5336.082,5161.21,5293.703,49057393,2007,11,20
2007-11-21,5307.793,5343.077,5209.742,5214.225,41231609,2007,11,21
2007-11-22,5113.882,5153.934,4973.771,4984.161,41251594,2007,11,22
2007-11-23,4946.258,5032.13,4906.456,5032.13,30872962,2007,11,23
2007-11-26,5102.526,5110.328,4953.518,4958.849,37494220,2007,11,26
2007-11-27,4919.913,4944.28,4860.011,4861.111,31585235,2007,11,27
2007-11-28,4870.842,4907.071,4778.943,4803.394,32765317,2007,11,28
2007-11-29,4870.861,5010.885,4815.341,5003.333,50099157,2007,11,29
2007-11-30,4993.74,4993.74,4862.173,4871.778,43449596,2007,11,30
2007-12-03,4838.564,4899.07,4798.713,4868.611,53827638,2007,12,3
2007-12-04,4882.149,4971.112,4882.149,4915.889,42924665,2007,12,4
2007-12-05,4917.365,5052.188,4894.054,5042.654,54302270,2007,12,5
2007-12-06,5055.835,5065.033,4995.976,5035.073,43246483,2007,12,6
2007-12-07,5038.478,5096.466,5021.886,5091.756,50127492,2007,12,7
2007-12-10,5010.826,5168.44,4992.558,5161.919,68892463,2007,12,10
2007-12-11,5180.541,5209.691,5104.257,5175.076,66864375,2007,12,11
2007-12-12,5175.076,5175.076,5055.143,5095.543,72367337,2007,12,12
2007-12-13,5078.182,5094.507,4954.589,4958.043,67326637,2007,12,13
2007-12-14,4899.75,5011.007,4860.962,5007.911,52194571,2007,12,14
2007-12-17,5007.285,5007.285,4874.821,4876.761,63670786,2007,12,17
2007-12-18,4856.471,4905.069,4812.427,4836.174,40535455,2007,12,18
2007-12-19,4878.066,4960.122,4869.291,4941.784,56434387,2007,12,19
2007-12-20,4965.29,5050.785,4923.427,5043.535,57768321,2007,12,20
2007-12-21,5017.195,5112.185,5015.53,5101.779,66247357,2007,12,21
2007-12-24,5132.913,5284.156,5104.937,5234.262,85105378,2007,12,24
2007-12-25,5233.175,5254.405,5179.546,5201.181,71229156,2007,12,25
2007-12-26,5209.035,5261.834,5158.931,5233.351,74571398,2007,12,26
2007-12-27,5248.222,5316.119,5203.519,5308.889,87370820,2007,12,27
2007-12-28,5320.007,5336.399,5248.692,5261.563,77214986,2007,12,28
2007-12-31,5261.563,5261.563,5261.563,5261.563,0,2007,12,31
2008-01-02,5265.0,5295.016,5201.892,5272.814,76593423,2008,1,2
2008-01-03,5269.801,5321.457,5211.755,5319.861,98757244,2008,1,3
2008-01-04,5328.411,5372.461,5318.588,5361.574,80877536,2008,1,4
2008-01-07,5357.45,5402.759,5332.974,5393.343,91936325,2008,1,7
2008-01-09,5387.312,5437.238,5386.984,5435.807,29453515,2008,1,9
2008-01-10,5449.16,5483.298,5407.59,5456.541,96354053,2008,1,10
2008-01-11,5471.387,5499.892,5424.241,5484.677,87324694,2008,1,11
2008-01-14,5507.578,5522.778,5457.016,5497.901,79754352,2008,1,14
2008-01-15,5503.931,5505.035,5405.935,5443.791,80605282,2008,1,15
2008-01-16,5443.791,5443.791,5288.932,5290.606,89190992,2008,1,16
2008-01-17,5235.908,5311.793,5040.87,5151.626,97674777,2008,1,17
2008-01-18,5141.371,5187.295,5093.519,5180.514,68717294,2008,1,18
2008-01-21,5188.795,5200.546,4891.916,4914.435,75676001,2008,1,21
2008-01-22,4817.997,4817.997,4512.835,4559.751,92499612,2008,1,22
2008-01-23,4572.902,4705.023,4510.504,4703.047,87903337,2008,1,23
2008-01-24,4753.445,4767.754,4626.024,4717.734,90041540,2008,1,24
2008-01-25,4716.977,4806.201,4658.28,4761.688,77859117,2008,1,25
2008-01-28,4720.564,4720.564,4409.124,4419.294,67532525,2008,1,28
2008-01-29,4426.267,4516.706,4389.841,4457.944,48650261,2008,1,29
2008-01-30,4505.635,4554.143,4330.698,4417.849,52909738,2008,1,30
2008-01-31,4408.024,4486.248,4368.296,4383.393,43846189,2008,1,31
2008-02-01,4388.254,4411.553,4195.815,4310.113,53768206,2008,2,1
2008-02-04,4415.023,4672.17,4415.023,4672.17,61747417,2008,2,4
2008-02-05,4622.539,4662.971,4560.167,4599.696,50682336,2008,2,5
2008-02-13,4525.026,4547.361,4454.643,4490.721,36985017,2008,2,13
2008-02-14,4527.054,4576.463,4508.052,4552.316,34906456,2008,2,14
2008-02-15,4523.792,4523.792,4431.463,4497.127,41386519,2008,2,15
2008-02-18,4546.752,4600.395,4518.023,4568.151,55826856,2008,2,18
2008-02-19,4582.284,4665.504,4545.676,4664.295,60899996,2008,2,19
2008-02-20,4682.588,4695.332,4557.565,4567.026,66484545,2008,2,20
2008-02-21,4534.169,4567.904,4452.994,4527.177,61309226,2008,2,21
2008-02-22,4500.385,4500.385,4333.09,4370.285,67619080,2008,2,22
2008-02-26,4192.519,4329.727,4123.337,4238.179,54937381,2008,2,26
2008-02-27,4256.532,4359.994,4223.025,4334.047,49029903,2008,2,27
2008-02-28,4343.277,4344.926,4265.595,4299.513,47515488,2008,2,28
2008-02-29,4293.533,4364.483,4276.275,4348.543,47144652,2008,2,29
2008-03-03,4323.698,4456.963,4279.662,4438.265,77793726,2008,3,3
2008-03-04,4454.18,4471.954,4321.647,4335.446,86234604,2008,3,4
2008-03-05,4335.421,4352.105,4212.554,4292.654,73465392,2008,3,5
2008-03-06,4310.354,4427.408,4261.261,4360.986,84535354,2008,3,6
2008-03-07,4315.808,4340.995,4266.125,4300.515,56128294,2008,3,7
2008-03-10,4265.611,4265.611,4120.735,4146.299,64806704,2008,3,10
2008-03-11,4121.653,4165.878,4063.47,4165.878,51000365,2008,3,11
2008-03-12,4254.673,4272.979,4069.207,4070.116,56854117,2008,3,12
