date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2007-09-25,103.167,103.182,103.15,103.15,0,2007,9,25
2007-09-26,103.132,103.162,103.12,103.155,0,2007,9,26
2007-09-27,103.167,103.177,103.14,103.175,0,2007,9,27
2007-09-28,103.185,103.197,103.157,103.167,0,2007,9,28
2007-10-01,103.155,103.172,103.132,103.135,0,2007,10,1
2007-10-02,103.115,103.172,103.115,103.16,0,2007,10,2
2007-10-03,103.17,103.177,103.125,103.147,0,2007,10,3
2007-10-04,103.125,103.162,103.12,103.15,0,2007,10,4
2007-10-05,103.147,103.147,103.072,103.1,0,2007,10,5
2007-10-09,103.1,103.105,103.07,103.07,0,2007,10,9
2007-10-10,103.052,103.08,103.04,103.057,0,2007,10,10
2007-10-11,103.047,103.052,103.025,103.052,0,2007,10,11
2007-10-12,103.06,103.065,103.01,103.01,0,2007,10,12
2007-10-15,102.315,103.025,102.292,103.025,0,2007,10,15
2007-10-16,103.062,103.077,103.055,103.07,0,2007,10,16
2007-10-17,103.07,103.167,103.07,103.155,0,2007,10,17
2007-10-18,103.185,103.192,103.167,103.185,0,2007,10,18
2007-10-19,103.19,103.247,103.18,103.242,0,2007,10,19
2007-10-22,103.255,103.255,103.207,103.237,0,2007,10,22
2007-10-23,103.205,103.247,103.205,103.245,0,2007,10,23
2007-10-24,103.26,103.31,103.26,103.302,0,2007,10,24
2007-10-25,103.275,103.312,103.275,103.292,0,2007,10,25
2007-10-26,103.267,103.307,103.25,103.28,0,2007,10,26
2007-10-29,103.245,103.267,103.245,103.255,0,2007,10,29
2007-10-30,103.237,103.257,103.237,103.25,0,2007,10,30
2007-10-31,103.225,103.235,103.175,103.177,0,2007,10,31
2007-11-01,103.185,103.285,103.185,103.26,0,2007,11,1
2007-11-02,103.29,104.03,103.22,104.012,0,2007,11,2
2007-11-05,104.02,104.022,103.315,104.002,0,2007,11,5
2007-11-06,103.297,104.02,103.29,103.31,0,2007,11,6
2007-11-07,104.017,104.05,104.012,104.05,0,2007,11,7
2007-11-08,104.052,104.137,104.042,104.12,0,2007,11,8
2007-11-09,104.125,104.137,104.097,104.112,0,2007,11,9
2007-11-13,104.112,104.112,104.075,104.075,0,2007,11,13
2007-11-14,104.06,104.065,104.035,104.065,0,2007,11,14
2007-11-15,104.112,104.175,104.112,104.17,0,2007,11,15
2007-11-16,104.182,104.197,104.145,104.182,0,2007,11,16
2007-11-19,104.185,104.28,104.165,104.26,0,2007,11,19
2007-11-20,104.242,104.27,104.215,104.262,0,2007,11,20
2007-11-21,104.315,105.035,104.315,105.002,0,2007,11,21
2007-11-23,104.31,105.0,104.31,105.0,0,2007,11,23
2007-11-26,104.28,105.052,104.28,105.05,0,2007,11,26
2007-11-27,105.022,105.027,104.277,104.297,0,2007,11,27
2007-11-28,104.305,104.31,104.245,104.25,0,2007,11,28
2007-11-29,104.307,105.037,104.305,104.317,0,2007,11,29
2007-11-30,104.3,105.005,104.3,105.005,0,2007,11,30
