date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-02,58.02,58.54,55.48,56.51,107874,2015,1,2
2015-01-04,56.25,56.3,55.74,55.8,532,2015,1,4
2015-01-05,55.77,56.14,52.66,53.15,169531,2015,1,5
2015-01-06,53.2,53.6,50.52,50.9,201593,2015,1,6
2015-01-07,51.14,51.84,49.66,51.02,185120,2015,1,7
2015-01-08,51.06,51.91,49.81,51.05,157255,2015,1,8
2015-01-09,51.25,51.44,48.9,49.95,126043,2015,1,9
2015-01-11,49.93,49.98,49.36,49.38,650,2015,1,11
2015-01-12,49.41,49.58,47.16,47.2,140690,2015,1,12
2015-01-13,47.05,47.29,45.19,46.79,106710,2015,1,13
2015-01-14,46.84,49.21,45.59,48.61,48380,2015,1,14
2015-01-15,48.68,50.62,47.0,48.36,6549,2015,1,15
2015-01-16,48.25,50.41,48.07,49.9,198321,2015,1,16
2015-01-18,50.1,50.35,49.86,49.91,359,2015,1,18
2015-01-19,49.92,50.34,48.68,48.85,68313,2015,1,19
2015-01-20,48.91,49.48,47.78,48.17,175030,2015,1,20
2015-01-21,48.3,49.59,48.21,48.75,188872,2015,1,21
2015-01-22,48.6,50.45,48.02,49.0,214697,2015,1,22
2015-01-23,49.11,49.8,48.55,48.55,150208,2015,1,23
2015-01-25,48.56,48.58,47.85,47.97,1449,2015,1,25
2015-01-26,47.9,49.29,47.57,48.11,150765,2015,1,26
2015-01-27,48.25,49.99,47.68,49.26,164211,2015,1,27
2015-01-28,49.1,49.72,48.29,48.65,139893,2015,1,28
2015-01-29,48.69,49.25,48.37,49.05,126508,2015,1,29
2015-01-30,49.15,53.08,48.76,52.95,241857,2015,1,30
2015-02-01,52.6,52.68,51.5,52.1,668,2015,2,1
2015-02-02,52.1,55.62,51.41,54.85,259227,2015,2,2
2015-02-03,55.0,60.08,54.84,58.02,89994,2015,2,3
2015-02-04,59.1,59.11,54.54,55.47,82704,2015,2,4
2015-02-05,55.85,58.78,54.06,57.87,109455,2015,2,5
2015-02-06,57.67,59.9,57.67,59.09,79280,2015,2,6
2015-02-08,57.93,59.06,57.9,58.6,1010,2015,2,8
2015-02-09,58.56,60.59,57.98,58.83,105882,2015,2,9
2015-02-10,58.87,59.62,57.19,57.97,132258,2015,2,10
2015-02-11,58.15,58.15,55.16,56.3,185626,2015,2,11
2015-02-12,56.33,59.91,56.07,59.24,216467,2015,2,12
2015-02-13,59.27,61.77,59.08,61.41,185575,2015,2,13
2015-02-15,61.49,62.32,61.49,62.03,698,2015,2,15
2015-02-16,62.03,62.57,60.71,61.6,70978,2015,2,16
2015-02-17,61.68,63.0,60.27,62.29,167588,2015,2,17
2015-02-18,62.3,62.46,59.25,59.46,139605,2015,2,18
2015-02-19,59.54,60.99,57.8,60.21,188491,2015,2,19
2015-02-20,60.2,61.15,59.82,60.1,113940,2015,2,20
2015-02-22,60.04,60.04,59.74,59.89,352,2015,2,22
2015-02-23,59.91,60.67,58.37,59.0,192314,2015,2,23
2015-02-24,59.09,60.29,58.1,58.75,163766,2015,2,24
2015-02-25,58.75,62.2,58.41,61.91,169462,2015,2,25
2015-02-26,61.85,62.63,59.66,60.52,188749,2015,2,26
2015-02-27,60.75,62.83,60.51,62.48,150323,2015,2,27
2015-03-01,62.83,62.95,62.54,62.89,41,2015,3,1
2015-03-02,62.83,62.96,60.04,60.67,45516,2015,3,2
2015-03-03,60.64,62.52,60.47,61.75,46776,2015,3,3
2015-03-04,61.54,61.69,60.24,61.12,34378,2015,3,4
2015-03-05,61.19,62.1,60.58,61.13,36029,2015,3,5
2015-03-06,61.19,61.75,59.67,60.26,44012,2015,3,6
2015-03-08,60.05,60.13,59.68,59.75,153,2015,3,8
2015-03-09,59.76,60.5,58.95,59.11,58942,2015,3,9
2015-03-10,58.95,59.26,56.62,56.91,79311,2015,3,10
2015-03-11,56.93,58.25,56.35,58.22,93513,2015,3,11
2015-03-12,58.23,59.15,56.75,57.18,109389,2015,3,12
2015-03-13,57.25,57.6,54.75,54.89,124306,2015,3,13
2015-03-15,54.66,54.84,53.64,53.99,1461,2015,3,15
2015-03-16,53.99,55.01,52.65,54.15,158183,2015,3,16
2015-03-17,54.1,54.38,52.57,53.3,132840,2015,3,17
2015-03-18,53.28,56.84,52.68,56.27,185587,2015,3,18
2015-03-19,56.18,56.2,53.91,54.46,139341,2015,3,19
2015-03-20,54.46,55.67,53.55,55.22,125736,2015,3,20
2015-03-22,55.24,55.29,54.65,54.7,187,2015,3,22
2015-03-23,54.72,56.19,54.12,55.89,148694,2015,3,23
2015-03-24,55.83,56.79,54.85,55.31,160607,2015,3,24
2015-03-25,55.09,57.17,54.7,56.38,163845,2015,3,25
2015-03-26,56.35,59.78,56.3,58.86,207161,2015,3,26
2015-03-27,58.97,59.04,55.95,56.12,138166,2015,3,27
2015-03-29,55.96,56.22,55.57,55.94,750,2015,3,29
2015-03-30,55.94,56.65,55.2,56.56,134865,2015,3,30
2015-03-31,56.31,56.33,54.72,55.1,190662,2015,3,31
2015-04-01,55.17,57.69,54.7,56.67,164197,2015,4,1
2015-04-02,56.72,58.32,55.12,56.23,72594,2015,4,2
2015-04-05,56.21,56.71,56.21,56.47,86,2015,4,5
2015-04-06,56.48,59.43,55.69,59.01,48096,2015,4,6
2015-04-07,59.3,60.32,58.17,59.66,90644,2015,4,7
2015-04-08,59.35,59.75,56.61,57.29,81979,2015,4,8
2015-04-09,57.3,59.16,57.1,57.92,90784,2015,4,9
2015-04-10,57.88,59.18,57.33,59.1,94513,2015,4,10
2015-04-12,59.08,59.08,58.87,58.89,42,2015,4,12
2015-04-13,58.92,60.59,58.56,59.05,127394,2015,4,13
2015-04-14,59.14,60.44,58.95,60.17,136977,2015,4,14
2015-04-15,60.06,63.47,60.03,62.71,190261,2015,4,15
2015-04-16,62.9,64.95,62.0,63.94,179529,2015,4,16
2015-04-17,64.02,64.5,62.95,63.72,138694,2015,4,17
