date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-12,74.3175,75.0,73.3,73.35,171435000,2015,1,12
2015-01-13,75.8155,77.55,75.5,77.0995,241578000,2015,1,13
2015-01-14,78.2,78.6995,77.3385,77.7175,216552000,2015,1,14
2015-01-15,74.8065,77.2245,73.6785,76.3985,224010000,2015,1,15
2015-01-16,75.5,76.42699999999999,75.354,75.4,158301000,2015,1,16
2015-01-19,75.62,75.6535,74.3495,74.69,201589000,2015,1,19
2015-01-20,75.11399999999999,75.6295,75.0135,75.27,134013000,2015,1,20
2015-01-21,75.7185,76.439,75.51,76.19,116800000,2015,1,21
2015-01-22,75.998,76.02,75.2,75.2,157096000,2015,1,22
2015-01-23,72.5,73.7595,71.25,71.75,234522000,2015,1,23
2015-01-26,72.2,74.02,72.007,73.7,163300000,2015,1,26
2015-01-27,76.6725,76.9845,75.6545,76.508,247352000,2015,1,27
2015-01-28,75.881,76.6225,75.881,76.61,275684000,2015,1,28
2015-01-29,77.122,78.5305,77.03,78.4,146593000,2015,1,29
2015-01-30,77.501,81.3625,77.5,79.74600000000001,203586000,2015,1,30
2015-02-02,77.741,79.867,77.63,78.0,139998000,2015,2,2
2015-02-03,76.501,77.39,75.013,75.42,188860000,2015,2,3
2015-02-04,74.5,76.285,74.0,75.695,203659000,2015,2,4
2015-02-05,78.10300000000001,78.899,75.55,76.759,176140000,2015,2,5
2015-02-06,75.76,76.672,75.066,76.27,190250000,2015,2,6
2015-02-09,75.5,75.723,73.876,74.7,191944000,2015,2,9
2015-02-10,74.167,74.9,73.7,74.499,182046000,2015,2,10
2015-02-11,74.3,75.22800000000001,74.237,74.46,189908000,2015,2,11
2015-02-12,73.88,76.354,73.3,74.48,220318000,2015,2,12
2015-02-13,73.7,74.833,73.638,73.766,208896000,2015,2,13
2015-02-16,72.001,72.29899999999999,69.165,71.02,291745000,2015,2,16
2015-02-17,71.214,71.712,70.928,71.22800000000001,207549000,2015,2,17
2015-02-18,71.89399999999999,71.89399999999999,70.81,70.95,246224000,2015,2,18
2015-02-19,70.749,71.22,70.45100000000001,70.55,166717000,2015,2,19
2015-02-20,70.0,70.45100000000001,69.571,70.34,191965000,2015,2,20
2015-02-24,72.0,72.61,71.072,71.281,207374000,2015,2,24
2015-02-25,71.5,71.5,70.55,70.6,250271000,2015,2,25
2015-02-26,69.455,69.561,68.0,68.707,268709000,2015,2,26
2015-02-27,68.525,69.054,68.24,68.77,233928000,2015,2,27
2015-03-02,69.486,69.941,68.946,69.83,208335000,2015,3,2
2015-03-03,69.637,70.047,69.319,69.35,189103000,2015,3,3
2015-03-04,69.2,69.22800000000001,68.62100000000001,68.75,189558000,2015,3,4
2015-03-05,68.45,68.475,67.85,67.94,287758000,2015,3,5
2015-03-06,66.422,66.422,65.01,65.059,330493000,2015,3,6
2015-03-10,65.732,66.21,64.78,65.72,220341000,2015,3,10
2015-03-11,66.5,67.29,65.972,66.27,223066000,2015,3,11
2015-03-12,65.059,65.059,64.274,64.699,216207000,2015,3,12
2015-03-13,64.903,65.293,64.35,64.592,189895000,2015,3,13
2015-03-16,65.06,65.628,64.331,65.541,161378000,2015,3,16
2015-03-17,65.541,65.7,65.031,65.685,188409000,2015,3,17
2015-03-18,64.8,65.2,64.679,64.87,179360000,2015,3,18
2015-03-19,64.221,64.499,63.891000000000005,64.209,227967000,2015,3,19
2015-03-20,63.913000000000004,64.75,63.846000000000004,64.56,242614000,2015,3,20
2015-03-23,63.931000000000004,64.6,63.71,64.264,199054000,2015,3,23
2015-03-24,64.212,64.479,63.095,63.45,241393000,2015,3,24
2015-03-25,63.0,63.34,62.068000000000005,62.405,297205000,2015,3,25
2015-03-26,62.2,62.72,61.641999999999996,62.19,237759000,2015,3,26
2015-03-27,61.59,62.8,61.59,62.12,268707000,2015,3,27
2015-03-30,63.248000000000005,63.552,62.61,62.68,290227000,2015,3,30
2015-03-31,62.4,62.632,61.69,62.47,328466000,2015,3,31
2015-04-01,62.698,62.91,62.2,62.298,184574000,2015,4,1
2015-04-02,61.853,61.979,61.324,61.78,347712000,2015,4,2
2015-04-07,60.611000000000004,60.70399999999999,59.93,59.95,293435000,2015,4,7
2015-04-08,59.52,59.52,58.053999999999995,58.398,254662000,2015,4,8
2015-04-09,57.75899999999999,57.75899999999999,55.92,56.0,276819000,2015,4,9
2015-04-10,54.739,54.938,53.331,54.25,346809000,2015,4,10
2015-04-13,56.333,56.583,54.918,54.918,251351000,2015,4,13
2015-04-14,55.02,55.075,54.316,54.85,252087000,2015,4,14
2015-04-15,53.423,54.092,53.373000000000005,53.62,246284000,2015,4,15
2015-04-16,52.96,53.817,52.687,53.64,221698000,2015,4,16
2015-04-17,53.992,55.235,53.78,54.88,306561000,2015,4,17
2015-04-20,56.278,57.055,55.31399999999999,56.75,226346000,2015,4,20
2015-04-21,57.14,58.0,56.755,57.489,238508000,2015,4,21
2015-04-22,57.891999999999996,58.068999999999996,56.9,56.95,185176000,2015,4,22
2015-04-23,55.997,56.0,54.775,55.45,220115000,2015,4,23
2015-04-24,55.485,55.51,54.407,55.39,410190000,2015,4,24
2015-04-27,54.911,56.373000000000005,54.911,55.75,235799000,2015,4,27
2015-04-28,56.943000000000005,57.14,56.47,57.068999999999996,280572000,2015,4,28
2015-04-29,57.0,57.0,56.467,56.56,214459000,2015,4,29
2015-04-30,56.7,57.887,56.50899999999999,57.495,235581000,2015,4,30
2015-05-05,57.731,57.792,56.85,57.248999999999995,270028000,2015,5,5
2015-05-06,56.261,57.193000000000005,55.851000000000006,56.07,184554000,2015,5,6
2015-05-07,57.68,57.724,56.881,56.91,291955000,2015,5,7
2015-05-08,56.662,57.5,56.52,56.8,186229000,2015,5,8
2015-05-12,57.32899999999999,57.32899999999999,56.825,56.885,167533000,2015,5,12
2015-05-13,55.673,56.1,55.45,55.665,267337000,2015,5,13
2015-05-14,57.446000000000005,57.449,56.213,57.08,258570000,2015,5,14
2015-05-15,57.001000000000005,57.148999999999994,56.685,56.73,236942000,2015,5,15
2015-05-18,56.341,56.426,55.75,56.03,277796000,2015,5,18
2015-05-19,55.70399999999999,55.727,54.9,55.27,278356000,2015,5,19
2015-05-20,55.07,55.74100000000001,54.977,55.465,228779000,2015,5,20
2015-05-21,55.695,55.695,55.184,55.278999999999996,572661000,2015,5,21
2015-05-22,55.651,55.918,55.32899999999999,55.81,182456000,2015,5,22
2015-05-25,54.9,54.95,51.638999999999996,54.89,250813000,2015,5,25
2015-05-26,54.888000000000005,55.078,54.73,55.03,278632000,2015,5,26
2015-05-27,55.535,56.483000000000004,55.31399999999999,56.285,224228000,2015,5,27
2015-05-28,56.761,57.402,56.006,57.05,270053000,2015,5,28
2015-05-29,57.75,58.141999999999996,57.44,57.56,240465000,2015,5,29
2015-06-01,57.62,58.4,57.523999999999994,58.272,157032000,2015,6,1
2015-06-02,58.669,58.9,58.261,58.698,176128000,2015,6,2
2015-06-03,58.913000000000004,59.45,58.887,59.266000000000005,157772000,2015,6,3
2015-06-04,61.505,62.70399999999999,61.505,62.36,205432000,2015,6,4
2015-06-05,64.054,64.054,62.446000000000005,62.82,194267000,2015,6,5
2015-06-08,63.488,63.488,62.0,62.365,160977000,2015,6,8
2015-06-09,62.835,63.318000000000005,62.747,62.854,194675000,2015,6,9
2015-06-10,62.5,62.592,61.03,61.391000000000005,234146000,2015,6,10
2015-06-11,61.35,61.794,61.12,61.42,282586000,2015,6,11
2015-06-15,62.291000000000004,62.395,61.431999999999995,61.431999999999995,256877000,2015,6,15
2015-06-16,61.417,61.538999999999994,60.79,60.92,178818000,2015,6,16
2015-06-17,60.596000000000004,61.1,60.151,60.83,186042000,2015,6,17
2015-06-18,61.073,61.187,60.3,60.98,209499000,2015,6,18
2015-06-19,60.62,61.687,60.373000000000005,61.49,162008000,2015,6,19
2015-06-22,61.5,61.5,60.597,61.12,141160000,2015,6,22
2015-06-23,61.5,61.5,60.665,60.875,222373000,2015,6,23
2015-06-24,60.101000000000006,60.9,60.027,60.888999999999996,187620000,2015,6,24
2015-06-25,61.005,61.56,60.915,61.163999999999994,238442000,2015,6,25
2015-06-26,61.37,61.78,61.18899999999999,61.74,179884000,2015,6,26
2015-06-29,61.316,61.868,61.29,61.6,264183000,2015,6,29
2015-06-30,62.14,62.6,61.958,62.2,200082000,2015,6,30
2015-07-01,61.808,61.901,61.418,61.55,217286000,2015,7,1
2015-07-02,61.8,61.9,61.355,61.675,166656000,2015,7,2
2015-07-03,61.632,61.98,61.478,61.855,143445000,2015,7,3
2015-07-06,62.306000000000004,64.157,62.1,62.16,169836000,2015,7,6
2015-07-07,63.083,63.85,62.549,63.013999999999996,181394000,2015,7,7
2015-07-08,62.878,63.38,62.75,62.898999999999994,212570000,2015,7,8
2015-07-09,63.326,63.406000000000006,62.743,62.79600000000001,172942000,2015,7,9
2015-07-10,62.031000000000006,63.396,62.031000000000006,63.09,231882000,2015,7,10
2015-07-13,63.13,63.373000000000005,62.63,62.79,168726000,2015,7,13
2015-07-14,62.598,62.902,62.405,62.7,179526000,2015,7,14
2015-07-15,62.28,62.55,62.11,62.434,233197000,2015,7,15
