date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-02,2058.9,2072.36,2046.26,2058.2,13892,2015,1,2
2015-01-05,2054.44,2054.44,2017.34,2020.58,17383,2015,1,5
2015-01-06,2022.15,2030.25,1992.44,2002.61,18442,2015,1,6
2015-01-07,2005.55,2029.61,2005.55,2025.9,16975,2015,1,7
2015-01-08,2030.61,2064.08,2030.61,2062.14,15584,2015,1,8
2015-01-09,2063.45,2064.43,2038.93,2044.81,12008,2015,1,9
2015-01-12,2046.13,2049.3,2022.58,2028.26,15851,2015,1,12
2015-01-13,2031.58,2056.93,2008.25,2023.03,17701,2015,1,13
2015-01-14,2018.4,2018.4,1988.44,2011.27,17524,2015,1,14
2015-01-15,2013.75,2021.35,1991.47,1992.67,17256,2015,1,15
2015-01-16,1992.25,2020.38,1988.14,2019.42,14803,2015,1,16
2015-01-20,2020.76,2028.94,2004.49,2022.55,16467,2015,1,20
2015-01-21,2020.19,2038.29,2012.04,2032.12,16408,2015,1,21
2015-01-22,2034.3,2064.62,2026.38,2063.15,16707,2015,1,22
2015-01-23,2062.98,2062.98,2050.54,2051.82,15113,2015,1,23
2015-01-26,2050.42,2057.62,2040.97,2057.09,14685,2015,1,26
2015-01-27,2047.86,2047.86,2019.91,2029.55,16566,2015,1,27
2015-01-28,2032.34,2042.49,2001.64,2002.16,16073,2015,1,28
2015-01-29,2002.45,2024.64,1989.18,2021.25,17683,2015,1,29
2015-01-30,2019.35,2023.32,1993.38,1994.99,18188,2015,1,30
2015-02-02,1996.67,2021.66,1980.9,2020.85,18405,2015,2,2
2015-02-03,2022.71,2050.3,2022.71,2050.03,17710,2015,2,3
2015-02-04,2048.86,2054.74,2036.72,2041.51,17377,2015,2,4
2015-02-05,2043.45,2063.55,2043.45,2062.52,15886,2015,2,5
2015-02-06,2062.28,2072.4,2049.97,2055.47,16774,2015,2,6
2015-02-09,2053.47,2056.16,2041.88,2046.74,15808,2015,2,9
2015-02-10,2049.38,2070.86,2048.62,2068.59,15647,2015,2,10
2015-02-11,2068.55,2073.48,2057.99,2068.53,16237,2015,2,11
2015-02-12,2069.98,2088.53,2069.98,2088.48,15815,2015,2,12
2015-02-13,2088.78,2097.03,2086.7,2096.99,14969,2015,2,13
2015-02-17,2096.47,2101.3,2089.8,2100.34,14912,2015,2,17
2015-02-18,2099.16,2100.23,2092.15,2099.68,14400,2015,2,18
2015-02-19,2099.25,2102.13,2090.79,2097.45,14144,2015,2,19
2015-02-20,2097.65,2110.6,2085.44,2110.3,12858,2015,2,20
2015-02-23,2109.83,2110.05,2103.0,2109.66,14041,2015,2,23
2015-02-24,2109.1,2117.94,2105.87,2115.48,14481,2015,2,24
2015-02-25,2115.3,2119.59,2109.9,2113.86,14564,2015,2,25
2015-02-26,2113.91,2113.91,2103.76,2110.74,15055,2015,2,26
2015-02-27,2110.88,2112.74,2103.75,2104.51,13749,2015,2,27
2015-03-02,2105.23,2117.52,2104.5,2117.39,13174,2015,3,2
2015-03-03,2115.76,2115.76,2098.26,2107.78,14131,2015,3,3
2015-03-04,2107.72,2107.72,2087.62,2098.53,14538,2015,3,4
2015-03-05,2098.54,2104.25,2095.33,2101.04,12889,2015,3,5
2015-03-06,2100.91,2100.91,2067.27,2071.26,15803,2015,3,6
2015-03-09,2072.25,2083.49,2072.21,2079.43,15699,2015,3,9
2015-03-10,2076.14,2076.14,2044.16,2044.16,16148,2015,3,10
2015-03-11,2044.69,2050.08,2039.69,2040.24,15740,2015,3,11
2015-03-12,2041.1,2066.41,2041.1,2065.95,14669,2015,3,12
2015-03-13,2064.56,2064.56,2041.17,2053.4,15344,2015,3,13
2015-03-16,2055.35,2081.41,2055.35,2081.19,14261,2015,3,16
2015-03-17,2080.59,2080.59,2065.08,2074.28,14328,2015,3,17
2015-03-18,2072.84,2106.85,2061.23,2099.5,15771,2015,3,18
2015-03-19,2098.69,2098.69,2085.56,2089.27,14553,2015,3,19
2015-03-20,2090.32,2113.92,2090.32,2108.1,13849,2015,3,20
2015-03-23,2107.99,2114.86,2104.42,2104.42,13594,2015,3,23
2015-03-24,2103.94,2107.63,2091.5,2091.5,14377,2015,3,24
2015-03-25,2091.32,2092.36,2061.05,2061.05,11465,2015,3,25
2015-03-26,2059.94,2067.15,2045.5,2056.15,15361,2015,3,26
2015-03-27,2055.78,2062.83,2052.96,2061.02,14746,2015,3,27
2015-03-30,2064.11,2088.97,2064.11,2086.24,14421,2015,3,30
2015-03-31,2084.05,2084.05,2067.04,2067.89,13981,2015,3,31
2015-04-01,2067.63,2067.63,2048.38,2059.69,15895,2015,4,1
2015-04-02,2060.03,2072.17,2057.32,2066.96,13908,2015,4,2
2015-04-06,2064.87,2086.99,2056.52,2080.62,13417,2015,4,6
2015-04-07,2080.79,2089.81,2076.1,2076.33,13220,2015,4,7
2015-04-08,2076.94,2086.69,2073.3,2081.9,14770,2015,4,8
2015-04-09,2081.29,2093.31,2074.29,2091.18,14409,2015,4,9
2015-04-10,2092.24,2102.61,2091.87,2102.06,12855,2015,4,10
2015-04-13,2102.03,2107.65,2092.33,2092.43,13291,2015,4,13
2015-04-14,2092.28,2098.62,2083.24,2095.84,13578,2015,4,14
2015-04-15,2097.82,2111.91,2097.82,2106.63,13940,2015,4,15
2015-04-16,2105.96,2111.3,2100.02,2104.99,13974,2015,4,16
2015-04-17,2102.58,2102.58,2072.37,2081.18,15877,2015,4,17
2015-04-20,2084.11,2103.94,2084.11,2100.4,13770,2015,4,20
2015-04-21,2102.82,2109.64,2094.38,2097.29,14115,2015,4,21
2015-04-22,2098.27,2109.98,2091.05,2107.96,14564,2015,4,22
2015-04-23,2107.21,2120.49,2103.19,2112.93,14805,2015,4,23
2015-04-24,2112.8,2120.92,2112.8,2117.69,14453,2015,4,24
2015-04-27,2119.29,2125.92,2107.04,2108.92,15268,2015,4,27
2015-04-28,2108.35,2116.09,2094.89,2114.76,16022,2015,4,28
2015-04-29,2112.49,2113.65,2097.41,2106.85,16882,2015,4,29
2015-04-30,2105.52,2105.52,2077.59,2085.51,16926,2015,4,30
2015-05-01,2087.38,2108.41,2087.38,2108.29,14791,2015,5,1
2015-05-04,2110.23,2120.95,2110.23,2114.49,14612,2015,5,4
2015-05-05,2112.63,2115.24,2088.46,2089.46,15874,2015,5,5
2015-05-06,2091.26,2098.42,2067.93,2080.15,16381,2015,5,6
2015-05-07,2079.96,2092.9,2074.99,2088.0,15222,2015,5,7
2015-05-08,2092.13,2117.66,2092.13,2116.1,14069,2015,5,8
2015-05-11,2115.56,2117.69,2104.58,2105.33,13835,2015,5,11
2015-05-12,2102.87,2105.06,2085.57,2099.12,14957,2015,5,12
2015-05-13,2099.62,2110.19,2096.04,2098.48,14137,2015,5,13
2015-05-14,2100.43,2121.45,2100.43,2121.1,12800,2015,5,14
2015-05-15,2122.07,2123.89,2116.79,2122.73,12720,2015,5,15
2015-05-18,2121.3,2131.78,2120.01,2129.2,12620,2015,5,18
2015-05-19,2129.45,2133.02,2124.5,2127.83,12903,2015,5,19
2015-05-20,2127.79,2134.72,2122.59,2125.85,13314,2015,5,20
2015-05-21,2125.55,2134.28,2122.95,2130.82,12336,2015,5,21
2015-05-22,2130.36,2132.15,2126.06,2126.06,12069,2015,5,22
2015-05-26,2125.34,2125.34,2099.18,2104.2,13897,2015,5,26
2015-05-27,2105.13,2126.22,2105.13,2123.48,12946,2015,5,27
2015-05-28,2122.27,2122.27,2112.86,2120.79,13014,2015,5,28
2015-05-29,2120.66,2120.66,2104.89,2107.39,15001,2015,5,29
2015-06-01,2108.64,2119.15,2102.54,2111.73,13763,2015,6,1
2015-06-02,2110.41,2117.59,2099.14,2109.6,13597,2015,6,2
2015-06-03,2110.64,2121.92,2109.61,2114.07,13428,2015,6,3
2015-06-04,2112.35,2112.89,2093.23,2095.84,15033,2015,6,4
2015-06-05,2095.09,2100.99,2085.67,2092.83,13882,2015,6,5
2015-06-08,2092.34,2093.01,2079.11,2079.28,13868,2015,6,8
2015-06-09,2079.07,2085.62,2072.14,2080.15,13742,2015,6,9
2015-06-10,2081.12,2108.5,2081.12,2105.2,13119,2015,6,10
