date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
1998-09-01,13.421,13.421,13.421,13.421,0,1998,9,1
1998-09-02,14.27,14.27,14.27,14.27,0,1998,9,2
1998-09-03,20.627,20.627,20.627,20.627,0,1998,9,3
1998-09-04,22.78,22.78,22.78,22.78,0,1998,9,4
1998-09-07,26.064,26.064,26.064,26.064,0,1998,9,7
1998-09-08,24.965,24.965,24.965,24.965,0,1998,9,8
1998-09-09,17.493,17.493,17.493,17.493,0,1998,9,9
1998-09-10,15.587,15.587,15.587,15.587,0,1998,9,10
1998-09-11,13.727,13.727,13.727,13.727,0,1998,9,11
1998-09-13,13.727,13.727,13.727,13.727,0,1998,9,13
1998-09-14,13.01,13.01,13.01,13.01,0,1998,9,14
1998-09-15,13.029,13.029,13.029,13.029,0,1998,9,15
1998-09-16,13.023,13.023,13.023,13.023,0,1998,9,16
1998-09-17,17.646,17.646,17.646,17.646,0,1998,9,17
1998-09-18,22.441,22.441,22.441,22.441,0,1998,9,18
1998-09-21,23.305,23.305,23.305,23.305,0,1998,9,21
1998-09-22,19.561,19.561,19.561,19.561,0,1998,9,22
1998-09-23,18.827,18.827,18.827,18.827,0,1998,9,23
1998-09-24,18.949,18.949,18.949,18.949,0,1998,9,24
1998-09-25,19.272,19.272,19.272,19.272,0,1998,9,25
1998-09-28,19.04,19.04,19.04,19.04,0,1998,9,28
1998-09-29,19.209,19.209,19.209,19.209,0,1998,9,29
1998-09-30,19.151,19.151,19.151,19.151,0,1998,9,30
1998-10-01,19.413,19.413,19.413,19.413,0,1998,10,1
1998-10-02,19.51,19.51,19.51,19.51,0,1998,10,2
1998-10-05,19.273,19.273,19.273,19.273,0,1998,10,5
1998-10-06,19.351,19.351,19.351,19.351,0,1998,10,6
1998-10-07,19.867,19.867,19.867,19.867,0,1998,10,7
1998-10-08,20.057,20.057,20.057,20.057,0,1998,10,8
1998-10-09,20.07,20.07,20.07,20.07,0,1998,10,9
1998-10-12,19.585,19.585,19.585,19.585,0,1998,10,12
1998-10-13,19.209,19.209,19.209,19.209,0,1998,10,13
1998-10-14,17.601,17.601,17.601,17.601,0,1998,10,14
1998-10-15,20.042,20.042,20.042,20.042,0,1998,10,15
1998-10-16,20.889,20.889,20.889,20.889,0,1998,10,16
1998-10-19,22.564,22.564,22.564,22.564,0,1998,10,19
1998-10-20,21.53,21.53,21.53,21.53,0,1998,10,20
1998-10-21,20.772,20.772,20.772,20.772,0,1998,10,21
1998-10-22,20.445,20.445,20.445,20.445,0,1998,10,22
1998-10-23,20.642,20.642,20.642,20.642,0,1998,10,23
1998-10-26,20.431,20.431,20.431,20.431,0,1998,10,26
1998-10-27,20.475,20.475,20.475,20.475,0,1998,10,27
1998-10-28,20.31,20.31,20.31,20.31,0,1998,10,28
1998-10-29,20.078,20.078,20.078,20.078,0,1998,10,29
1998-10-30,20.133,20.133,20.133,20.133,0,1998,10,30
1998-11-02,19.723,19.723,19.723,19.723,0,1998,11,2
1998-11-03,19.173,19.173,19.173,19.173,0,1998,11,3
1998-11-04,18.702,18.702,18.702,18.702,0,1998,11,4
1998-11-05,18.515,18.515,18.515,18.515,0,1998,11,5
1998-11-06,19.165,19.165,19.165,19.165,0,1998,11,6
1998-11-09,18.88,18.88,18.88,18.88,0,1998,11,9
1998-11-10,19.272,19.272,19.272,19.272,0,1998,11,10
1998-11-11,19.28,19.28,19.28,19.28,0,1998,11,11
1998-11-12,21.358,21.358,21.358,21.358,0,1998,11,12
1998-11-13,21.517,21.517,21.517,21.517,0,1998,11,13
1998-11-16,22.495,22.495,22.495,22.495,0,1998,11,16
1998-11-17,22.253,22.253,22.253,22.253,0,1998,11,17
1998-11-18,22.24,22.24,22.24,22.24,0,1998,11,18
1998-11-19,20.921,20.921,20.921,20.921,0,1998,11,19
1998-11-20,20.754,20.754,20.754,20.754,0,1998,11,20
1998-11-23,21.322,21.322,21.322,21.322,0,1998,11,23
1998-11-24,21.087,21.087,21.087,21.087,0,1998,11,24
1998-11-25,21.028,21.028,21.028,21.028,0,1998,11,25
1998-11-26,21.158,21.158,21.158,21.158,0,1998,11,26
1998-11-27,21.157,21.157,21.157,21.157,0,1998,11,27
1998-11-30,21.787,21.787,21.787,21.787,0,1998,11,30
1998-12-01,22.254,22.254,22.254,22.254,0,1998,12,1
1998-12-02,22.915,22.915,22.915,22.915,0,1998,12,2
1998-12-03,23.859,23.859,23.859,23.859,0,1998,12,3
1998-12-04,25.263,25.263,25.263,25.263,0,1998,12,4
1998-12-07,25.073,25.073,25.073,25.073,0,1998,12,7
1998-12-08,24.975,24.975,24.975,24.975,0,1998,12,8
1998-12-09,24.721,24.721,24.721,24.721,0,1998,12,9
1998-12-10,25.278,25.278,25.278,25.278,0,1998,12,10
1998-12-11,25.72,25.72,25.72,25.72,0,1998,12,11
1998-12-14,25.866,25.866,25.866,25.866,0,1998,12,14
1998-12-15,26.236,26.236,26.236,26.236,0,1998,12,15
1998-12-16,26.476,26.476,26.476,26.476,0,1998,12,16
1998-12-17,26.268,26.268,26.268,26.268,0,1998,12,17
1998-12-18,26.278,26.278,26.278,26.278,0,1998,12,18
1998-12-21,25.507,25.507,25.507,25.507,0,1998,12,21
1998-12-22,24.908,24.908,24.908,24.908,0,1998,12,22
1998-12-23,24.572,24.572,24.572,24.572,0,1998,12,23
1998-12-24,24.128,24.128,24.128,24.128,0,1998,12,24
1998-12-28,25.329,25.329,25.329,25.329,0,1998,12,28
1998-12-29,25.198,25.198,25.198,25.198,0,1998,12,29
1998-12-30,25.03,25.03,25.03,25.03,0,1998,12,30
1998-12-31,21.028,21.028,21.028,21.028,0,1998,12,31
1999-01-04,21.028,21.028,21.028,21.028,0,1999,1,4
1999-01-05,21.028,21.028,21.028,21.028,0,1999,1,5
1999-01-06,21.028,21.028,21.028,21.028,0,1999,1,6
1999-01-07,21.028,21.028,21.028,21.028,0,1999,1,7
1999-01-08,21.028,21.028,21.028,21.028,0,1999,1,8
1999-01-11,21.028,21.028,21.028,21.028,0,1999,1,11
1999-01-12,21.028,21.028,21.028,21.028,0,1999,1,12
1999-01-13,21.028,21.028,21.028,21.028,0,1999,1,13
1999-01-14,21.028,21.028,21.028,21.028,0,1999,1,14
1999-01-15,21.028,21.028,21.028,21.028,0,1999,1,15
1999-01-18,21.028,21.028,21.028,21.028,0,1999,1,18
1999-01-19,21.028,21.028,21.028,21.028,0,1999,1,19
1999-01-20,21.028,21.028,21.028,21.028,0,1999,1,20
1999-01-21,21.028,21.028,21.028,21.028,0,1999,1,21
1999-01-22,21.028,21.028,21.028,21.028,0,1999,1,22
1999-01-25,26.6203,26.6411,26.6203,26.6341,0,1999,1,25
1999-01-26,26.4429,26.4429,26.4429,26.4338,0,1999,1,26
1999-01-27,26.4269,26.4269,26.4269,26.4269,0,1999,1,27
1999-01-28,26.0079,26.0079,26.0079,26.0079,0,1999,1,28
1999-01-29,26.1986,26.1986,26.1986,26.1986,0,1999,1,29
1999-02-01,26.1007,26.1007,26.1007,26.1007,0,1999,2,1
1999-02-02,26.2405,26.2405,26.2405,26.2405,0,1999,2,2
1999-02-03,26.2636,26.2636,26.2636,26.2636,0,1999,2,3
1999-02-04,26.2229,26.2229,26.2229,26.2229,0,1999,2,4
1999-02-05,26.1649,26.1649,26.1649,26.1649,0,1999,2,5
1999-02-08,26.1684,26.1684,26.1684,26.1684,0,1999,2,8
1999-02-09,25.9656,25.9656,25.9656,25.9656,0,1999,2,9
1999-02-10,25.9412,25.9412,25.9412,25.9412,0,1999,2,10
1999-02-11,26.0748,26.0748,26.0748,26.0748,0,1999,2,11
1999-02-12,26.0434,26.0434,26.0434,26.0434,0,1999,2,12
1999-02-15,26.072,26.146,26.016,26.074,0,1999,2,15
