date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
1998-01-06,88.97,88.97,88.97,88.97,0,1998,1,6
1998-01-08,83.56,83.56,83.56,83.56,0,1998,1,8
1998-01-09,81.26,81.26,81.26,81.26,0,1998,1,9
1998-01-12,70.61,70.61,70.61,70.61,0,1998,1,12
1998-01-13,73.34,73.34,73.34,73.34,0,1998,1,13
1998-01-14,74.16,74.16,74.16,74.16,0,1998,1,14
1998-01-15,70.62,70.62,70.62,70.62,0,1998,1,15
1998-01-16,70.61,70.61,70.61,70.61,0,1998,1,16
1998-01-19,73.4,73.4,73.4,73.4,0,1998,1,19
1998-01-20,73.33,73.33,73.33,73.33,0,1998,1,20
1998-01-21,71.7,71.7,71.7,71.7,0,1998,1,21
1998-01-22,67.75,67.75,67.75,67.75,0,1998,1,22
1998-01-23,65.98,65.98,65.98,65.98,0,1998,1,23
1998-01-26,60.34,60.34,60.34,60.34,0,1998,1,26
1998-01-27,62.99,62.99,62.99,62.99,0,1998,1,27
1998-01-28,62.71,62.71,62.71,62.71,0,1998,1,28
1998-01-29,57.95,57.95,57.95,57.95,0,1998,1,29
1998-01-30,62.21,62.21,62.21,62.21,0,1998,1,30
1998-02-02,67.39,67.39,67.39,67.39,0,1998,2,2
1998-02-03,65.96,65.96,65.96,65.96,0,1998,2,3
1998-02-04,64.1,64.1,64.1,64.1,0,1998,2,4
1998-02-05,67.48,67.48,67.48,67.48,0,1998,2,5
1998-02-06,70.4,70.4,70.4,70.4,0,1998,2,6
1998-02-09,71.36,71.36,71.36,71.36,0,1998,2,9
1998-02-10,69.71,69.71,69.71,69.71,0,1998,2,10
1998-02-11,72.15,72.15,72.15,72.15,0,1998,2,11
1998-02-12,70.63,70.63,70.63,70.63,0,1998,2,12
1998-02-13,69.6,69.6,69.6,69.6,0,1998,2,13
1998-02-16,70.32,70.32,70.32,70.32,0,1998,2,16
1998-02-17,72.09,72.09,72.09,72.09,0,1998,2,17
1998-02-18,71.44,71.44,71.44,71.44,0,1998,2,18
1998-02-19,71.72,71.72,71.72,71.72,0,1998,2,19
1998-02-20,71.78,71.78,71.78,71.78,0,1998,2,20
1998-02-23,73.04,73.04,73.04,73.04,0,1998,2,23
1998-02-24,72.6,72.6,72.6,72.6,0,1998,2,24
1998-02-25,72.49,72.49,72.49,72.49,0,1998,2,25
1998-02-26,73.76,73.76,73.76,73.76,0,1998,2,26
1998-02-27,73.38,73.38,73.38,73.38,0,1998,2,27
1998-03-02,75.16,75.16,75.16,75.16,0,1998,3,2
1998-03-03,76.6,76.6,76.6,76.6,0,1998,3,3
1998-03-04,77.21,77.21,77.21,77.21,0,1998,3,4
1998-03-05,76.66,76.66,76.66,76.66,0,1998,3,5
1998-03-06,77.85,77.85,77.85,77.85,0,1998,3,6
1998-03-10,79.8,79.8,79.8,79.8,0,1998,3,10
1998-03-11,82.91,82.91,82.91,82.91,0,1998,3,11
1998-03-12,81.29,81.29,81.29,81.29,0,1998,3,12
1998-03-13,80.95,80.95,80.95,80.95,0,1998,3,13
1998-03-16,80.88,80.88,80.88,80.88,0,1998,3,16
1998-03-17,78.43,78.43,78.43,78.43,0,1998,3,17
1998-03-18,76.03,76.03,76.03,76.03,0,1998,3,18
1998-03-19,77.4,77.4,77.4,77.4,0,1998,3,19
1998-03-20,78.75,78.75,78.75,78.75,0,1998,3,20
1998-03-23,77.42,77.42,77.42,77.42,0,1998,3,23
1998-03-24,80.39,80.39,80.39,80.39,0,1998,3,24
1998-03-25,79.11,79.11,79.11,79.11,0,1998,3,25
1998-03-26,78.11,78.11,78.11,78.11,0,1998,3,26
1998-03-27,78.99,78.99,78.99,78.99,0,1998,3,27
1998-03-30,77.91,77.91,77.91,77.91,0,1998,3,30
1998-03-31,76.35,76.35,76.35,76.35,0,1998,3,31
1998-04-01,75.42,75.42,75.42,75.42,0,1998,4,1
1998-04-02,76.19,76.19,76.19,76.19,0,1998,4,2
1998-04-03,74.54,74.54,74.54,74.54,0,1998,4,3
1998-04-06,74.61,74.61,74.61,74.61,0,1998,4,6
1998-04-07,74.96,74.96,74.96,74.96,0,1998,4,7
1998-04-08,74.37,74.37,74.37,74.37,0,1998,4,8
1998-04-09,73.58,73.58,73.58,73.58,0,1998,4,9
1998-04-10,72.69,72.69,72.69,72.69,0,1998,4,10
1998-04-13,73.83,73.83,73.83,73.83,0,1998,4,13
1998-04-14,73.59,73.59,73.59,73.59,0,1998,4,14
1998-04-15,74.8,74.8,74.8,74.8,0,1998,4,15
1998-04-16,75.38,75.38,75.38,75.38,0,1998,4,16
1998-04-17,75.37,75.37,75.37,75.37,0,1998,4,17
1998-04-20,74.95,74.95,74.95,74.95,0,1998,4,20
1998-04-21,75.23,75.23,75.23,75.23,0,1998,4,21
1998-04-22,76.67,76.67,76.67,76.67,0,1998,4,22
1998-04-23,78.54,78.54,78.54,78.54,0,1998,4,23
1998-04-24,79.96,79.96,79.96,79.96,0,1998,4,24
1998-04-27,77.38,77.38,77.38,77.38,0,1998,4,27
1998-04-28,74.06,74.06,74.06,74.06,0,1998,4,28
1998-04-29,75.17,75.17,75.17,75.17,0,1998,4,29
1998-04-30,75.66,75.66,75.66,75.66,0,1998,4,30
1998-05-05,78.09,78.09,78.09,78.09,0,1998,5,5
1998-05-06,76.18,76.18,76.18,76.18,0,1998,5,6
1998-05-07,74.91,74.91,74.91,74.91,0,1998,5,7
1998-05-08,73.98,73.98,73.98,73.98,0,1998,5,8
1998-05-12,72.16,72.16,72.16,72.16,0,1998,5,12
1998-05-13,66.97,66.97,66.97,66.97,0,1998,5,13
1998-05-14,65.11,65.11,65.11,65.11,0,1998,5,14
1998-05-15,62.01,62.01,62.01,62.01,0,1998,5,15
1998-05-18,57.35,57.35,57.35,57.35,0,1998,5,18
1998-05-19,57.03,57.03,57.03,57.03,0,1998,5,19
1998-05-20,54.61,54.61,54.61,54.61,0,1998,5,20
1998-05-21,56.17,56.17,56.17,56.17,0,1998,5,21
1998-05-22,53.35,53.35,53.35,53.35,0,1998,5,22
1998-05-25,51.24,51.24,51.24,51.24,0,1998,5,25
1998-05-26,48.4,48.4,48.4,48.4,0,1998,5,26
1998-05-27,43.8,43.8,43.8,43.8,0,1998,5,27
1998-05-28,47.72,47.72,47.72,47.72,0,1998,5,28
1998-05-29,46.01,46.01,46.01,46.01,0,1998,5,29
1998-06-01,40.95,40.95,40.95,40.95,0,1998,6,1
1998-06-02,42.97,42.97,42.97,42.97,0,1998,6,2
1998-06-03,50.58,50.58,50.58,50.58,0,1998,6,3
1998-06-04,51.58,51.58,51.58,51.58,0,1998,6,4
1998-06-05,50.46,50.46,50.46,50.46,0,1998,6,5
1998-06-08,49.78,49.78,49.78,49.78,0,1998,6,8
1998-06-09,47.2,47.2,47.2,47.2,0,1998,6,9
1998-06-10,43.25,43.25,43.25,43.25,0,1998,6,10
1998-06-11,40.56,40.56,40.56,40.56,0,1998,6,11
1998-06-15,38.54,38.54,38.54,38.54,0,1998,6,15
1998-06-16,38.6,38.6,38.6,38.6,0,1998,6,16
1998-06-17,41.35,41.35,41.35,41.35,0,1998,6,17
1998-06-18,44.86,44.86,44.86,44.86,0,1998,6,18
1998-06-19,40.93,40.93,40.93,40.93,0,1998,6,19
