date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2001-02-16,1326.61,1326.61,1293.18,1301.53,0,2001,2,16
2001-02-17,1301.66,1301.77,1301.47,1301.53,0,2001,2,17
2001-02-19,1301.53,1301.53,1301.53,1301.53,0,2001,2,19
2001-02-20,1302.59,1307.16,1278.44,1278.94,0,2001,2,20
2001-02-21,1275.09,1282.97,1253.16,1255.27,0,2001,2,21
2001-02-22,1255.27,1259.94,1228.33,1252.82,0,2001,2,22
2001-02-23,1249.59,1250.06,1215.44,1245.86,0,2001,2,23
2001-02-24,1245.68,1245.86,1245.2,1245.86,0,2001,2,24
2001-02-26,1248.39,1267.69,1241.71,1267.65,0,2001,2,26
2001-02-27,1267.65,1272.76,1252.26,1257.94,0,2001,2,27
2001-02-28,1257.94,1263.47,1229.65,1239.94,0,2001,2,28
2001-03-01,1237.39,1241.36,1214.5,1241.23,0,2001,3,1
2001-03-02,1241.23,1251.01,1219.74,1234.18,0,2001,3,2
2001-03-03,1233.66,1234.24,1233.6,1234.18,0,2001,3,3
2001-03-05,1234.18,1242.55,1234.04,1241.41,0,2001,3,5
2001-03-06,1243.88,1267.42,1243.88,1253.8,0,2001,3,6
2001-03-07,1253.8,1263.86,1253.8,1261.89,0,2001,3,7
2001-03-08,1260.62,1266.5,1257.6,1264.74,0,2001,3,8
2001-03-09,1262.1,1262.1,1228.42,1233.42,0,2001,3,9
2001-03-10,1232.71,1233.53,1232.35,1233.42,0,2001,3,10
2001-03-11,1233.42,1233.42,1233.42,1233.42,0,2001,3,11
2001-03-12,1233.42,1233.42,1176.78,1180.16,0,2001,3,12
2001-03-13,1180.16,1197.83,1171.5,1197.66,0,2001,3,13
2001-03-14,1197.45,1197.45,1155.35,1166.71,0,2001,3,14
2001-03-15,1166.71,1182.04,1166.71,1173.56,0,2001,3,15
2001-03-16,1173.5,1173.5,1148.64,1150.53,0,2001,3,16
2001-03-17,1150.53,1150.68,1150.36,1150.53,0,2001,3,17
2001-03-19,1151.68,1173.5,1147.18,1170.81,0,2001,3,19
2001-03-20,1172.28,1180.56,1142.19,1142.62,0,2001,3,20
2001-03-21,1142.33,1149.39,1118.74,1122.14,0,2001,3,21
2001-03-22,1122.14,1124.27,1085.85,1096.17,0,2001,3,22
2001-03-23,1117.58,1141.83,1117.58,1139.83,0,2001,3,23
2001-03-24,1139.63,1139.91,1139.41,1139.83,0,2001,3,24
2001-03-26,1139.83,1139.83,1139.83,1139.83,0,2001,3,26
2001-03-30,1147.95,1162.8,1143.83,1160.33,0,2001,3,30
2001-03-31,1158.72,1161.02,1154.27,1160.33,0,2001,3,31
2001-04-02,1160.33,1169.51,1151.16,1152.93,0,2001,4,2
2001-04-03,1145.87,1145.87,1100.19,1106.46,0,2001,4,3
2001-04-04,1105.92,1117.4,1091.99,1115.27,0,2001,4,4
2001-04-05,1103.25,1135.51,1103.25,1134.58,0,2001,4,5
2001-04-06,1151.44,1151.44,1130.0,1136.19,0,2001,4,6
2001-04-09,1128.43,1146.13,1126.38,1137.59,0,2001,4,9
2001-04-10,1137.59,1173.92,1137.59,1168.38,0,2001,4,10
2001-04-11,1173.9,1182.24,1160.26,1165.89,0,2001,4,11
2001-04-12,1165.51,1183.51,1157.73,1183.5,0,2001,4,12
2001-04-13,1183.5,1183.5,1183.5,1183.5,0,2001,4,13
2001-04-14,1183.5,1183.5,1183.5,1183.5,0,2001,4,14
2001-04-16,1180.39,1184.64,1167.38,1179.68,0,2001,4,16
2001-04-17,1179.68,1192.25,1168.9,1191.53,0,2001,4,17
2001-04-18,1191.53,1248.42,1191.53,1238.16,0,2001,4,18
2001-04-19,1239.58,1253.71,1233.39,1253.69,0,2001,4,19
2001-04-20,1252.88,1252.88,1234.41,1242.98,0,2001,4,20
2001-04-21,1242.55,1242.98,1242.44,1242.98,0,2001,4,21
2001-04-23,1242.98,1242.98,1221.82,1222.84,0,2001,4,23
2001-04-24,1224.36,1233.54,1208.89,1209.47,0,2001,4,24
2001-04-25,1216.1,1232.36,1212.76,1228.75,0,2001,4,25
2001-04-26,1231.64,1248.3,1231.64,1234.52,0,2001,4,26
2001-04-27,1234.52,1253.07,1234.52,1253.05,0,2001,4,27
2001-04-28,1253.05,1253.05,1253.05,1253.05,0,2001,4,28
2001-05-03,1267.43,1267.43,1249.78,1249.78,0,2001,5,3
2001-05-04,1248.58,1267.51,1232.0,1266.61,0,2001,5,4
2001-05-05,1266.61,1266.61,1266.61,1266.61,0,2001,5,5
2001-05-06,1266.61,1266.61,1266.61,1266.61,0,2001,5,6
2001-05-07,1266.61,1270.0,1259.19,1263.51,0,2001,5,7
2001-05-08,1263.51,1267.01,1253.0,1261.2,0,2001,5,8
2001-05-09,1261.25,1261.25,1260.95,1261.2,0,2001,5,9
2001-05-10,1255.54,1268.14,1254.56,1255.18,0,2001,5,10
2001-05-11,1255.18,1259.84,1240.79,1245.67,0,2001,5,11
2001-05-12,1245.08,1245.67,1245.08,1245.67,0,2001,5,12
2001-05-14,1245.67,1249.68,1241.02,1248.92,0,2001,5,14
2001-05-15,1248.92,1257.45,1245.36,1249.44,0,2001,5,15
2001-05-16,1249.44,1286.39,1243.02,1284.99,0,2001,5,16
2001-05-17,1284.99,1296.48,1282.65,1288.49,0,2001,5,17
2001-05-18,1288.49,1292.06,1281.15,1291.96,0,2001,5,18
2001-05-19,1291.84,1291.96,1291.84,1291.96,0,2001,5,19
2001-05-20,1291.96,1291.96,1291.96,1291.96,0,2001,5,20
2001-05-21,1291.96,1312.95,1287.87,1312.83,0,2001,5,21
2001-05-22,1314.16,1315.93,1306.89,1309.38,0,2001,5,22
2001-05-23,1309.38,1309.38,1288.7,1289.05,0,2001,5,23
2001-05-24,1289.05,1295.04,1281.22,1293.17,0,2001,5,24
2001-05-25,1293.12,1293.13,1276.42,1277.89,0,2001,5,25
2001-05-26,1278.16,1278.16,1277.87,1277.89,0,2001,5,26
2001-05-28,1277.89,1277.89,1277.89,1277.89,0,2001,5,28
2001-05-29,1276.76,1278.42,1265.41,1267.93,0,2001,5,29
2001-05-30,1263.51,1265.44,1245.96,1248.08,0,2001,5,30
2001-05-31,1248.7,1261.91,1248.07,1255.82,0,2001,5,31
2001-06-01,1255.82,1259.37,1248.89,1248.89,0,2001,6,1
2001-06-05,1267.11,1286.62,1267.11,1283.57,0,2001,6,5
2001-06-06,1283.85,1283.85,1269.01,1270.03,0,2001,6,6
2001-06-07,1269.4,1277.08,1265.08,1276.96,0,2001,6,7
2001-06-08,1277.11,1277.11,1259.99,1264.96,0,2001,6,8
2001-06-09,1264.92,1264.98,1264.92,1264.96,0,2001,6,9
2001-06-11,1263.76,1264.33,1249.23,1254.39,0,2001,6,11
2001-06-12,1252.6,1259.89,1235.75,1259.89,0,2001,6,12
2001-06-13,1255.85,1259.75,1241.59,1241.6,0,2001,6,13
2001-06-14,1239.27,1239.27,1218.9,1219.87,0,2001,6,14
2001-06-15,1216.62,1221.5,1203.03,1214.36,0,2001,6,15
2001-06-16,1214.21,1214.36,1214.21,1214.36,0,2001,6,16
2001-06-18,1214.52,1221.23,1208.33,1208.43,0,2001,6,18
2001-06-19,1208.45,1208.5,1208.41,1208.43,0,2001,6,19
2001-06-20,1212.58,1225.61,1210.07,1223.14,0,2001,6,20
2001-06-21,1222.66,1240.24,1220.25,1237.04,0,2001,6,21
2001-06-22,1237.59,1237.73,1221.41,1225.35,0,2001,6,22
2001-06-23,1224.86,1225.42,1224.86,1225.35,0,2001,6,23
2001-06-25,1225.35,1231.5,1225.35,1229.16,0,2001,6,25
2001-06-26,1218.6,1220.68,1204.67,1216.76,0,2001,6,26
2001-06-27,1216.76,1219.87,1207.39,1211.07,0,2001,6,27
