date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
1998-01-01,1538.37,1538.37,1538.37,1538.37,0,1998,1,1
1998-01-02,1538.37,1538.37,1538.37,1538.37,0,1998,1,2
1998-01-05,1483.37,1483.37,1483.37,1483.37,0,1998,1,5
1998-01-06,1485.38,1485.38,1485.38,1485.38,0,1998,1,6
1998-01-07,1485.88,1485.88,1485.88,1485.88,0,1998,1,7
1998-01-08,1474.38,1474.38,1474.38,1474.38,0,1998,1,8
1998-01-09,1470.65,1470.65,1470.65,1470.65,0,1998,1,9
1998-01-12,1450.21,1450.21,1450.21,1450.21,0,1998,1,12
1998-01-13,1483.14,1483.14,1483.14,1483.14,0,1998,1,13
1998-01-14,1490.89,1490.89,1490.89,1490.89,0,1998,1,14
1998-01-15,1484.21,1484.21,1484.21,1484.21,0,1998,1,15
1998-01-16,1476.46,1476.46,1476.46,1476.46,0,1998,1,16
1998-01-19,1481.39,1481.39,1481.39,1481.39,0,1998,1,19
1998-01-20,1486.72,1486.72,1486.72,1486.72,0,1998,1,20
1998-01-21,1496.64,1496.64,1496.64,1496.64,0,1998,1,21
1998-01-22,1521.89,1521.89,1521.89,1521.89,0,1998,1,22
1998-01-23,1538.39,1538.39,1538.39,1538.39,0,1998,1,23
1998-01-26,1527.55,1527.55,1527.55,1527.55,0,1998,1,26
1998-01-27,1541.21,1541.21,1541.21,1541.21,0,1998,1,27
1998-01-28,1520.04,1520.04,1520.04,1520.04,0,1998,1,28
1998-01-29,1530.54,1530.54,1530.54,1530.54,0,1998,1,29
1998-01-30,1522.38,1522.38,1522.38,1522.38,0,1998,1,30
1998-02-02,1531.38,1531.38,1531.38,1531.38,0,1998,2,2
1998-02-03,1500.79,1500.79,1500.79,1500.79,0,1998,2,3
1998-02-04,1508.96,1508.96,1508.96,1508.96,0,1998,2,4
1998-02-05,1505.46,1505.46,1505.46,1505.46,0,1998,2,5
1998-02-06,1506.54,1506.54,1506.54,1506.54,0,1998,2,6
1998-02-09,1496.54,1496.54,1496.54,1496.54,0,1998,2,9
1998-02-10,1484.62,1484.62,1484.62,1484.62,0,1998,2,10
1998-02-11,1500.54,1500.54,1500.54,1500.54,0,1998,2,11
1998-02-12,1501.79,1501.79,1501.79,1501.79,0,1998,2,12
1998-02-13,1492.54,1492.54,1492.54,1492.54,0,1998,2,13
1998-02-16,1479.12,1479.12,1479.12,1479.12,0,1998,2,16
1998-02-17,1465.38,1465.38,1465.38,1465.38,0,1998,2,17
1998-02-18,1455.88,1455.88,1455.88,1455.88,0,1998,2,18
1998-02-19,1457.38,1457.38,1457.38,1457.38,0,1998,2,19
1998-02-20,1450.74,1450.74,1450.74,1450.74,0,1998,2,20
