date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2002-12-19,11191.8,11222.03,11117.13,11207.5,0,2002,12,19
2002-12-20,11275.27,11605.57,11262.15,11489.99,0,2002,12,20
2002-12-23,11502.29,11648.37,11383.63,11470.15,0,2002,12,23
2002-12-26,11470.16,11475.23,11300.69,11318.08,0,2002,12,26
2002-12-27,11325.58,11325.58,11207.3,11234.49,0,2002,12,27
2002-12-30,11235.28,11324.79,11211.74,11268.47,0,2002,12,30
2003-01-02,11290.76,11602.98,11290.76,11602.98,0,2003,1,2
2003-01-03,11602.99,11797.79,11600.23,11600.23,0,2003,1,3
2003-01-06,11636.31,12031.9,11633.44,12019.7,0,2003,1,6
2003-01-07,12009.62,12017.6,11842.13,11876.09,0,2003,1,7
2003-01-08,11876.1,11927.95,11757.05,11791.4,0,2003,1,8
2003-01-09,11815.26,11964.22,11780.34,11911.72,0,2003,1,9
2003-01-10,11911.73,12242.92,11911.73,12242.92,0,2003,1,10
2003-01-13,12242.86,12349.75,12095.01,12110.27,0,2003,1,13
2003-01-14,12110.28,12174.66,12052.09,12174.66,0,2003,1,14
2003-01-15,12150.69,12150.69,11898.88,11971.31,0,2003,1,15
2003-01-16,11973.03,12193.11,11920.77,11951.93,0,2003,1,16
2003-01-17,11951.77,11951.77,11555.17,11675.7,0,2003,1,17
2003-01-20,11675.01,11742.26,11544.9,11648.38,0,2003,1,20
2003-01-21,11610.12,11661.79,11433.56,11434.71,0,2003,1,21
2003-01-22,11428.1,11428.1,11132.18,11142.48,0,2003,1,22
2003-01-23,11147.69,11335.62,11027.41,11162.14,0,2003,1,23
2003-01-24,11080.41,11080.41,10752.97,10783.65,0,2003,1,24
2003-01-27,10760.44,10760.44,10461.76,10529.77,0,2003,1,27
2003-01-28,10529.78,10650.24,10495.0,10516.84,0,2003,1,28
2003-01-29,10518.34,10863.31,10456.63,10863.31,0,2003,1,29
2003-01-30,10872.65,11000.62,10704.6,10750.79,0,2003,1,30
2003-01-31,10760.72,10954.85,10740.85,10945.28,0,2003,1,31
2003-02-03,10945.3,11067.09,10852.23,10910.01,0,2003,2,3
2003-02-04,10878.94,10878.94,10534.04,10577.17,0,2003,2,4
2003-02-05,10577.18,10760.94,10496.51,10591.81,0,2003,2,5
2003-02-06,10587.3,10588.87,10360.07,10565.83,0,2003,2,6
2003-02-07,10566.72,10691.77,10354.69,10380.59,0,2003,2,7
2003-02-10,10389.22,10526.7,10309.64,10479.61,0,2003,2,10
2003-02-11,10490.87,10649.86,10475.16,10509.42,0,2003,2,11
2003-02-12,10509.43,10587.32,10445.06,10509.87,0,2003,2,12
2003-02-13,10509.02,10509.02,10090.67,10107.77,0,2003,2,13
2003-02-14,10107.78,10162.73,9968.08,10080.83,0,2003,2,14
2003-02-17,10089.39,10229.32,10089.39,10199.13,0,2003,2,17
2003-02-18,10188.99,10465.97,10165.72,10428.28,0,2003,2,18
2003-02-19,10449.69,10449.69,10206.14,10239.05,0,2003,2,19
2003-02-20,10251.86,10267.93,10118.25,10200.37,0,2003,2,20
2003-02-21,10216.84,10339.62,10143.86,10330.07,0,2003,2,21
2003-02-22,10330.87,10330.87,10330.87,10330.87,0,2003,2,22
2003-02-24,10333.77,10454.35,10254.78,10267.87,0,2003,2,24
2003-02-25,10253.51,10253.52,10022.26,10202.74,0,2003,2,25
2003-02-26,10191.93,10270.72,9976.54,9996.3,0,2003,2,26
2003-02-27,9994.89,10145.77,9994.89,10126.05,0,2003,2,27
2003-02-28,10150.71,10270.09,10150.71,10253.92,0,2003,2,28
2003-03-05,10262.88,10318.46,10104.25,10318.46,0,2003,3,5
2003-03-06,10305.52,10590.72,10305.52,10557.47,0,2003,3,6
2003-03-07,10615.31,10800.37,10438.48,10737.12,0,2003,3,7
2003-03-08,10723.79,10723.79,10723.79,10723.79,0,2003,3,8
2003-03-10,10723.8,10723.8,10294.24,10302.06,0,2003,3,10
2003-03-11,10308.61,10407.51,10199.41,10353.0,0,2003,3,11
2003-03-12,10339.68,10554.6,10289.56,10551.53,0,2003,3,12
2003-03-13,10576.93,10839.61,10576.93,10809.37,0,2003,3,13
2003-03-14,10783.05,10923.89,10755.27,10791.78,0,2003,3,14
2003-03-17,10770.03,10940.25,10608.71,10867.83,0,2003,3,17
2003-03-18,10892.53,11192.21,10892.53,11150.54,0,2003,3,18
2003-03-19,11151.0,11151.0,10944.36,11022.98,0,2003,3,19
2003-03-20,10993.12,11174.27,10857.51,11171.62,0,2003,3,20
2003-03-21,11176.49,11413.49,11176.49,11412.76,0,2003,3,21
2003-03-24,11361.63,11361.63,11024.05,11059.84,0,2003,3,24
2003-03-25,11047.47,11242.89,11034.79,11224.9,0,2003,3,25
2003-03-26,11232.27,11296.32,11186.42,11212.69,0,2003,3,26
2003-03-27,11203.99,11261.57,11035.66,11229.19,0,2003,3,27
2003-03-28,11272.8,11420.99,11220.7,11407.81,0,2003,3,28
2003-03-31,11386.62,11386.62,11214.7,11279.22,0,2003,3,31
2003-04-01,11282.62,11616.55,11282.62,11606.19,0,2003,4,1
2003-04-02,11615.37,11997.63,11602.08,11859.96,0,2003,4,2
2003-04-03,11877.05,12132.48,11876.36,12028.07,0,2003,4,3
2003-04-04,12014.21,12134.56,11923.59,12074.49,0,2003,4,4
2003-04-07,12153.97,12435.81,12120.41,12135.96,0,2003,4,7
2003-04-08,12124.17,12135.93,11732.01,11778.52,0,2003,4,8
2003-04-09,11782.33,11903.84,11754.1,11758.9,0,2003,4,9
2003-04-10,11783.68,11818.94,11577.77,11591.45,0,2003,4,10
