date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2007-09-25,106.3,107.03,106.265,106.27,0,2007,9,25
2007-09-26,106.25,106.295,106.205,106.275,0,2007,9,26
2007-09-27,106.305,107.02,106.25,107.01,0,2007,9,27
2007-09-28,107.045,107.09,106.295,107.01,0,2007,9,28
2007-10-01,107.0,107.05,106.285,106.3,0,2007,10,1
2007-10-02,106.275,107.09,106.27,107.045,0,2007,10,2
2007-10-03,106.065,107.09,106.065,107.005,0,2007,10,3
2007-10-04,106.29,107.05,106.27,107.035,0,2007,10,4
2007-10-05,107.02,107.02,106.165,106.18,0,2007,10,5
2007-10-09,106.18,106.195,106.12,106.135,0,2007,10,9
2007-10-10,106.11,106.185,106.08,106.14,0,2007,10,10
2007-10-11,106.115,106.145,106.065,106.145,0,2007,10,11
2007-10-12,106.17,106.18,106.085,106.085,0,2007,10,12
2007-10-15,106.075,106.125,106.02,106.12,0,2007,10,15
2007-10-16,106.075,106.205,106.075,106.19,0,2007,10,16
2007-10-17,106.195,107.075,106.19,107.05,0,2007,10,17
2007-10-18,107.13,107.15,107.085,107.12,0,2007,10,18
2007-10-19,107.155,107.285,107.13,107.265,0,2007,10,19
2007-10-22,107.29,107.29,107.18,107.24,0,2007,10,22
2007-10-23,107.215,107.26,107.18,107.255,0,2007,10,23
2007-10-24,107.295,108.09,107.29,108.05,0,2007,10,24
2007-10-25,108.0,108.055,107.305,108.005,0,2007,10,25
2007-10-26,107.27,108.025,107.235,107.29,0,2007,10,26
2007-10-29,107.24,107.29,107.225,107.265,0,2007,10,29
2007-10-30,107.245,107.27,107.24,107.265,0,2007,10,30
2007-10-31,107.21,107.23,107.105,107.11,0,2007,10,31
2007-11-01,107.135,108.01,107.135,107.295,0,2007,11,1
2007-11-02,108.02,108.145,107.25,108.135,0,2007,11,2
2007-11-05,108.115,108.14,108.08,108.095,0,2007,11,5
2007-11-06,108.04,108.11,108.01,108.05,0,2007,11,6
2007-11-07,108.145,108.16,108.065,108.155,0,2007,11,7
2007-11-08,108.19,108.295,108.16,108.265,0,2007,11,8
2007-11-09,108.31,109.03,108.28,109.0,0,2007,11,9
2007-11-13,109.0,109.0,108.215,108.22,0,2007,11,13
2007-11-14,108.2,108.205,108.125,108.195,0,2007,11,14
2007-11-15,108.275,109.075,108.275,109.075,0,2007,11,15
2007-11-16,109.095,109.115,109.02,109.095,0,2007,11,16
2007-11-19,109.105,109.3,109.065,109.235,0,2007,11,19
2007-11-20,109.205,109.29,109.15,109.255,0,2007,11,20
2007-11-21,110.04,110.115,110.005,110.005,0,2007,11,21
2007-11-23,109.31,110.03,109.275,110.015,0,2007,11,23
2007-11-26,109.27,110.25,109.27,110.25,0,2007,11,26
2007-11-27,110.195,110.22,110.005,110.115,0,2007,11,27
2007-11-28,110.055,110.105,109.275,109.31,0,2007,11,28
2007-11-29,110.07,110.175,110.07,110.11,0,2007,11,29
2007-11-30,110.02,110.12,109.305,110.12,0,2007,11,30
2007-12-03,110.16,110.285,110.16,110.285,0,2007,12,3
2007-12-04,111.04,111.045,110.215,111.005,0,2007,12,4
2007-12-05,111.005,111.02,111.005,111.02,0,2007,12,5
2007-12-06,110.23,110.275,110.105,110.22,0,2007,12,6
2007-12-07,110.155,110.155,109.245,110.02,0,2007,12,7
2007-12-10,110.07,110.08,109.195,109.3,0,2007,12,10
2007-12-11,109.22,110.165,109.215,110.135,0,2007,12,11
2007-12-12,110.015,119.305,109.08,109.315,0,2007,12,12
2007-12-13,109.235,109.275,109.165,109.195,0,2007,12,13
2007-12-14,109.11,109.145,109.04,109.085,0,2007,12,14
2007-12-17,109.125,109.19,109.09,109.17,0,2007,12,17
2007-12-18,109.195,109.315,109.175,109.265,0,2007,12,18
2007-12-19,110.005,110.11,109.185,110.015,0,2007,12,19
2007-12-20,110.03,110.145,110.025,110.095,0,2007,12,20
2007-12-21,110.015,110.04,109.175,109.18,0,2007,12,21
2007-12-24,109.16,109.18,109.105,109.115,0,2007,12,24
2007-12-26,109.09,109.145,109.005,109.005,0,2007,12,26
2007-12-27,109.035,109.145,109.035,109.14,0,2007,12,27
2007-12-28,109.215,110.07,109.21,109.305,0,2007,12,28
2007-12-31,110.075,110.105,110.07,110.09,0,2007,12,31
2008-01-02,110.1,111.03,110.06,111.02,0,2008,1,2
2008-01-03,111.045,111.045,110.265,111.015,0,2008,1,3
2008-01-04,111.005,111.23,111.005,111.18,0,2008,1,4
2008-01-07,111.14,111.21,111.105,111.21,0,2008,1,7
2008-01-09,111.245,112.015,111.23,111.28,0,2008,1,9
