date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2001-02-16,6133.6,6140.1,6082.8,6088.3,0,2001,2,16
2001-02-19,6083.1,6102.2,6065.2,6094.0,0,2001,2,19
2001-02-20,6094.7,6134.0,5974.8,5980.1,0,2001,2,20
2001-02-21,5989.2,5998.9,5921.7,5972.4,0,2001,2,21
2001-02-22,5972.4,6011.3,5937.1,6003.1,0,2001,2,22
2001-02-23,6003.1,6023.4,5904.7,5943.7,0,2001,2,23
2001-02-26,5960.1,6003.5,5913.8,5916.7,0,2001,2,26
2001-02-27,5916.7,5975.3,5906.9,5941.2,0,2001,2,27
2001-02-28,5941.2,5997.0,5901.7,5917.9,0,2001,2,28
2001-03-01,5922.3,5949.2,5868.1,5908.6,0,2001,3,1
2001-03-02,5902.9,5921.5,5829.5,5858.6,0,2001,3,2
2001-03-05,5858.6,5931.3,5856.9,5931.3,0,2001,3,5
2001-03-06,5930.6,6027.6,5928.0,6012.0,0,2001,3,6
2001-03-07,6005.2,6035.3,5979.3,6001.8,0,2001,3,7
2001-03-08,6018.1,6050.4,5982.0,6003.2,0,2001,3,8
2001-03-09,5995.5,5995.5,5908.9,5917.3,0,2001,3,9
2001-03-11,5917.3,5917.3,5917.3,5917.3,0,2001,3,11
2001-03-12,5916.0,5916.0,5786.3,5826.5,0,2001,3,12
2001-03-13,5791.6,5796.3,5720.7,5720.7,0,2001,3,13
2001-03-14,5725.0,5742.1,5471.1,5625.9,0,2001,3,14
2001-03-15,5623.0,5729.2,5594.8,5729.2,0,2001,3,15
2001-03-16,5584.4,5625.1,5556.2,5562.8,0,2001,3,16
2001-03-19,5544.8,5609.2,5536.4,5551.6,0,2001,3,19
2001-03-20,5565.2,5646.8,5565.2,5646.8,0,2001,3,20
2001-03-21,5640.0,5640.0,5496.0,5540.7,0,2001,3,21
2001-03-22,5529.9,5529.9,5279.6,5314.8,0,2001,3,22
2001-03-23,5314.8,5438.0,5314.8,5402.3,0,2001,3,23
2001-03-26,5404.8,5536.3,5404.8,5536.3,0,2001,3,26
2001-03-30,5643.7,5655.8,5592.2,5633.7,0,2001,3,30
2001-04-02,5650.1,5650.1,5559.4,5618.5,0,2001,4,2
2001-04-03,5618.5,5618.5,5459.6,5463.1,0,2001,4,3
2001-04-04,5449.7,5505.7,5354.3,5488.5,0,2001,4,4
2001-04-05,5535.7,5658.9,5531.6,5628.7,0,2001,4,5
2001-04-06,5621.8,5681.2,5546.9,5569.3,0,2001,4,6
2001-04-09,5601.5,5679.5,5571.0,5663.3,0,2001,4,9
2001-04-10,5663.0,5808.1,5663.0,5803.0,0,2001,4,10
2001-04-11,5799.6,5841.3,5766.9,5788.1,0,2001,4,11
2001-04-12,5791.5,5795.3,5737.9,5782.2,0,2001,4,12
2002-01-30,2763.58,2766.14,2758.49,2764.88,0,2002,1,30
2002-01-31,2790.94,2805.17,2782.83,2799.58,0,2002,1,31
2002-02-01,2803.45,2829.67,2801.88,2810.76,0,2002,2,1
2002-02-04,2808.93,2808.93,2765.98,2771.28,0,2002,2,4
2002-02-05,2767.07,2767.07,2696.49,2719.19,0,2002,2,5
