date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
1998-01-01,1697.568289,1697.568289,1677.726581,1679.9312149999998,0,1998,1,1
1998-01-04,1688.749752,1688.749752,1657.884874,1661.191825,0,1998,1,4
1998-01-05,1651.270972,1667.805728,1647.96402,1662.294142,0,1998,1,5
1998-01-06,1649.066337,1657.884874,1647.96402,1653.475606,0,1998,1,6
1998-01-07,1662.294142,1667.805728,1642.452435,1644.6570689999999,0,1998,1,7
1998-01-08,1642.452435,1642.452435,1622.6107279999999,1634.736216,0,1998,1,8
1998-01-11,1617.099142,1631.429264,1617.099142,1631.429264,0,1998,1,11
1998-01-12,1638.043167,1688.749752,1638.043167,1677.726581,0,1998,1,12
1998-01-13,1697.568289,1708.591459,1684.340484,1686.545118,0,1998,1,13
1998-01-14,1662.294142,1717.409996,1662.294142,1701.977557,0,1998,1,14
1998-01-15,1704.182191,1724.0238980000001,1682.13585,1682.13585,0,1998,1,15
1998-01-19,1677.726581,1677.726581,1661.191825,1677.726581,0,1998,1,19
1998-01-20,1695.363654,1699.772923,1686.545118,1686.545118,0,1998,1,20
1998-01-21,1719.61463,1719.61463,1715.2053620000002,1719.61463,0,1998,1,21
1998-01-22,1713.0007280000002,1728.4331670000001,1708.591459,1728.4331670000001,0,1998,1,22
1998-01-25,1763.7073129999999,1765.9119469999998,1732.8424350000003,1747.172557,0,1998,1,25
1998-01-26,1757.0934100000002,1783.54902,1746.0702399999998,1779.139752,0,1998,1,26
1998-01-27,1779.139752,1781.344386,1743.8656059999998,1764.80963,0,1998,1,27
1998-01-28,1751.581825,1780.2420690000001,1748.2748739999997,1763.7073129999999,0,1998,1,28
1998-01-29,1759.2980440000001,1763.7073129999999,1735.0470690000002,1736.149386,0,1998,1,29
1998-02-01,1746.0702399999998,1750.479508,1728.4331670000001,1732.8424350000003,0,1998,2,1
1998-02-02,1710.796093,1710.796093,1675.521947,1682.13585,0,1998,2,2
1998-02-03,1693.1590199999998,1705.2845079999997,1688.749752,1697.568289,0,1998,2,3
1998-02-04,1697.568289,1697.568289,1682.13585,1684.340484,0,1998,2,4
1998-02-05,1697.568289,1697.568289,1675.521947,1678.828898,0,1998,2,5
1998-02-08,1664.498776,1679.9312149999998,1649.066337,1652.373289,0,1998,2,8
1998-02-09,1662.294142,1688.749752,1657.884874,1687.647435,0,1998,2,9
1998-02-10,1683.2381670000002,1690.9543859999999,1683.2381670000002,1690.9543859999999,0,1998,2,10
1998-02-11,1686.545118,1690.9543859999999,1683.2381670000002,1687.647435,0,1998,2,11
1998-02-12,1673.317313,1673.317313,1668.908045,1668.908045,0,1998,2,12
1998-02-16,1624.8153619999998,1656.782557,1624.8153619999998,1656.782557,0,1998,2,16
1998-02-17,1651.270972,1651.270972,1635.838533,1635.838533,0,1998,2,17
1998-02-18,1644.6570689999999,1656.782557,1644.6570689999999,1656.782557,0,1998,2,18
1998-02-19,1642.452435,1646.861703,1631.429264,1631.429264,0,1998,2,19
1998-02-22,1604.973655,1620.406094,1596.155118,1603.8713380000002,0,1998,2,22
1998-02-23,1596.155118,1604.973655,1591.74585,1599.462069,0,1998,2,23
1998-02-24,1604.973655,1675.521947,1602.76902,1651.270972,0,1998,2,24
1998-02-25,1660.089508,1688.749752,1642.452435,1675.521947,0,1998,2,25
1998-02-26,1671.1126789999998,1696.465971,1664.498776,1671.1126789999998,0,1998,2,26
1998-03-01,1671.1126789999998,1748.2748739999997,1668.908045,1732.8424350000003,0,1998,3,1
1998-03-02,1739.456337,1754.8887760000002,1706.386825,1706.386825,0,1998,3,2
1998-03-03,1713.0007280000002,1726.228532,1706.386825,1710.796093,0,1998,3,3
1998-03-04,1759.2980440000001,1803.390727,1750.479508,1752.684142,0,1998,3,4
1998-03-05,1763.7073129999999,1768.1165809999998,1748.2748739999997,1749.377191,0,1998,3,5
1998-03-08,1754.8887760000002,1781.344386,1739.456337,1747.172557,0,1998,3,8
1998-03-09,1757.0934100000002,1769.218898,1748.2748739999997,1759.2980440000001,0,1998,3,9
1998-03-10,1765.9119469999998,1787.9582879999998,1754.8887760000002,1761.502679,0,1998,3,10
1998-03-11,1773.628166,1833.153288,1773.628166,1821.0278,0,1998,3,11
1998-03-12,1816.618532,1824.334752,1804.493044,1810.0046300000001,0,1998,3,12
1998-03-15,1805.595361,1822.130118,1798.981459,1813.311581,0,1998,3,15
1998-03-16,1807.7999960000002,1821.0278,1792.367557,1801.186093,0,1998,3,16
1998-03-17,1770.321215,1770.321215,1757.0934100000002,1762.604996,0,1998,3,17
1998-03-18,1754.8887760000002,1768.1165809999998,1730.637801,1749.377191,0,1998,3,18
1998-03-19,1752.684142,1752.684142,1737.2517030000001,1747.172557,0,1998,3,19
1998-03-22,1752.684142,1791.26524,1752.684142,1784.651337,0,1998,3,22
1998-03-23,1761.502679,1763.7073129999999,1740.558654,1749.377191,0,1998,3,23
1998-03-24,1757.0934100000002,1760.400362,1725.1262149999998,1729.535484,0,1998,3,24
1998-03-25,1735.0470690000002,1754.8887760000002,1735.0470690000002,1739.456337,0,1998,3,25
1998-03-26,1730.637801,1742.7632879999999,1725.1262149999998,1741.660971,0,1998,3,26
1998-03-29,1751.581825,1753.786459,1741.660971,1743.8656059999998,0,1998,3,29
1998-03-30,1752.684142,1764.80963,1746.0702399999998,1748.2748739999997,0,1998,3,30
1998-03-31,1728.4331670000001,1728.4331670000001,1678.828898,1678.828898,0,1998,3,31
1998-04-01,1678.828898,1692.0567030000002,1678.828898,1692.0567030000002,0,1998,4,1
1998-04-02,1690.9543859999999,1690.9543859999999,1664.498776,1672.2149960000002,0,1998,4,2
1998-04-05,1688.749752,1695.363654,1681.033532,1682.13585,0,1998,4,5
1998-04-06,1688.749752,1706.386825,1688.749752,1705.2845079999997,0,1998,4,6
1998-04-07,1718.512313,1722.9215809999998,1718.512313,1719.61463,0,1998,4,7
1998-04-08,1735.0470690000002,1783.54902,1735.0470690000002,1781.344386,0,1998,4,8
1998-04-12,1779.139752,1808.9023129999998,1779.139752,1807.7999960000002,0,1998,4,12
1998-04-13,1797.8791420000002,1818.8231660000001,1795.6745079999998,1800.0837760000002,0,1998,4,13
1998-04-14,1880.5529219999999,1884.962191,1858.5065809999999,1884.962191,0,1998,4,14
1998-04-15,1869.529752,1869.529752,1827.641703,1836.460239,0,1998,4,15
1998-04-16,1814.413898,1847.48341,1814.413898,1846.381093,0,1998,4,16
1998-04-19,1829.8463370000002,1832.0509710000001,1819.9254829999998,1832.0509710000001,0,1998,4,19
1998-04-20,1856.301947,1871.7343859999999,1852.994995,1852.994995,0,1998,4,20
1998-04-21,1895.985361,1902.599264,1868.427434,1868.427434,0,1998,4,21
1998-04-22,1854.097313,1864.018166,1849.6880440000002,1864.018166,0,1998,4,22
1998-04-23,1869.529752,1869.529752,1832.0509710000001,1841.971825,0,1998,4,23
1998-04-26,1829.8463370000002,1895.985361,1823.2324350000001,1870.6320690000002,0,1998,4,26
1998-04-27,1858.5065809999999,1880.5529219999999,1851.8926780000002,1872.8367030000002,0,1998,4,27
1998-04-28,1857.404264,1878.348288,1836.460239,1839.767191,0,1998,4,28
1998-04-29,1847.48341,1859.608898,1819.9254829999998,1821.0278,0,1998,4,29
1998-04-30,1814.413898,1867.325117,1810.0046300000001,1865.120483,0,1998,4,30
1998-05-03,1862.9158489999998,1869.529752,1854.097313,1865.120483,0,1998,5,3
1998-05-04,1865.120483,1867.325117,1843.0741420000002,1845.278776,0,1998,5,4
1998-05-05,1834.255605,1834.255605,1785.7536539999999,1793.469874,0,1998,5,5
1998-05-06,1779.139752,1786.8559710000002,1737.2517030000001,1737.2517030000001,0,1998,5,6
