date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
1998-01-01,6007.71,6007.71,6007.71,6007.71,0,1998,1,1
1998-01-02,6007.71,6007.71,6007.71,6007.71,0,1998,1,2
1998-01-05,5854.71,5854.71,5854.71,5854.71,0,1998,1,5
1998-01-06,5748.46,5748.46,5748.46,5748.46,0,1998,1,6
1998-01-07,5726.46,5726.46,5726.46,5726.46,0,1998,1,7
1998-01-08,5736.14,5736.14,5736.14,5736.14,0,1998,1,8
1998-01-09,5694.14,5694.14,5694.14,5694.14,0,1998,1,9
1998-01-12,5604.64,5604.64,5604.64,5604.64,0,1998,1,12
1998-01-13,5618.64,5618.64,5618.64,5618.64,0,1998,1,13
1998-01-14,5643.64,5643.64,5643.64,5643.64,0,1998,1,14
1998-01-15,5524.0,5524.0,5524.0,5524.0,0,1998,1,15
1998-01-16,5509.57,5509.57,5509.57,5509.57,0,1998,1,16
1998-01-19,5354.71,5354.71,5354.71,5354.71,0,1998,1,19
1998-01-20,5346.02,5346.02,5346.02,5346.02,0,1998,1,20
1998-01-21,5373.35,5373.35,5373.35,5373.35,0,1998,1,21
1998-01-22,5348.64,5348.64,5348.64,5348.64,0,1998,1,22
1998-01-23,5543.64,5543.64,5543.64,5543.64,0,1998,1,23
1998-01-26,5373.96,5373.96,5373.96,5373.96,0,1998,1,26
1998-01-27,5289.8,5289.8,5289.8,5289.8,0,1998,1,27
1998-01-28,5277.8,5277.8,5277.8,5277.8,0,1998,1,28
1998-01-29,5380.8,5380.8,5380.8,5380.8,0,1998,1,29
1998-01-30,5369.3,5369.3,5369.3,5369.3,0,1998,1,30
1998-02-02,5463.3,5463.3,5463.3,5463.3,0,1998,2,2
1998-02-03,5363.8,5363.8,5363.8,5363.8,0,1998,2,3
1998-02-04,5347.38,5347.38,5347.38,5347.38,0,1998,2,4
1998-02-05,5457.38,5457.38,5457.38,5457.38,0,1998,2,5
1998-02-06,5510.38,5510.38,5510.38,5510.38,0,1998,2,6
1998-02-09,5523.38,5523.38,5523.38,5523.38,0,1998,2,9
1998-02-10,5554.88,5554.88,5554.88,5554.88,0,1998,2,10
1998-02-11,5615.38,5615.38,5615.38,5615.38,0,1998,2,11
1998-02-12,5654.13,5654.13,5654.13,5654.13,0,1998,2,12
1998-02-13,5633.13,5633.13,5633.13,5633.13,0,1998,2,13
1998-02-16,5419.96,5419.96,5419.96,5419.96,0,1998,2,16
1998-02-17,5376.89,5376.89,5376.89,5376.89,0,1998,2,17
1998-02-18,5346.81,5346.81,5346.81,5346.81,0,1998,2,18
1998-02-19,5471.43,5471.43,5471.43,5471.43,0,1998,2,19
1998-02-20,5474.93,5474.93,5474.93,5474.93,0,1998,2,20
1998-02-23,5347.93,5347.93,5347.93,5347.93,0,1998,2,23
1998-02-24,5204.93,5204.93,5204.93,5204.93,0,1998,2,24
1998-02-25,5204.43,5204.43,5204.43,5204.43,0,1998,2,25
1998-02-26,5254.93,5254.93,5254.93,5254.93,0,1998,2,26
1998-02-27,5324.43,5324.43,5324.43,5324.43,0,1998,2,27
1998-03-02,5338.43,5338.43,5338.43,5338.43,0,1998,3,2
1998-03-03,5273.43,5273.43,5273.43,5273.43,0,1998,3,3
1998-03-04,5246.43,5246.43,5246.43,5246.43,0,1998,3,4
1998-03-05,5364.39,5364.39,5364.39,5364.39,0,1998,3,5
1998-03-06,5463.93,5463.93,5463.93,5463.93,0,1998,3,6
1998-03-09,5378.93,5378.93,5378.93,5378.93,0,1998,3,9
1998-03-10,5357.7,5357.7,5357.7,5357.7,0,1998,3,10
1998-03-11,5337.2,5337.2,5337.2,5337.2,0,1998,3,11
1998-03-12,5346.2,5346.2,5346.2,5346.2,0,1998,3,12
1998-03-13,5392.46,5392.46,5392.46,5392.46,0,1998,3,13
1998-03-16,5446.93,5446.93,5446.93,5446.93,0,1998,3,16
1998-03-17,5510.89,5510.89,5510.89,5510.89,0,1998,3,17
1998-03-18,5359.85,5359.85,5359.85,5359.85,0,1998,3,18
1998-03-19,5449.0,5449.0,5449.0,5449.0,0,1998,3,19
1998-03-20,5469.0,5469.0,5469.0,5469.0,0,1998,3,20
1998-03-23,5585.0,5585.0,5585.0,5585.0,0,1998,3,23
1998-03-24,5533.4,5533.4,5533.4,5533.4,0,1998,3,24
1998-03-25,5502.4,5502.4,5502.4,5502.4,0,1998,3,25
1998-03-26,5466.4,5466.4,5466.4,5466.4,0,1998,3,26
