date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2007-09-11,338.75,339.75,335.15,338.25,387,2007,9,11
2007-09-12,338.85,348.0,337.05,338.5,240,2007,9,12
2007-09-13,336.85,338.85,331.0,336.5,335,2007,9,13
2007-09-14,336.6,336.6,324.5,333.75,610,2007,9,14
2007-09-17,334.0,336.0,328.5,333.55,395,2007,9,17
2007-09-18,334.45,335.75,333.0,334.95,280,2007,9,18
2007-09-19,336.0,337.95,334.0,336.0,608,2007,9,19
2007-09-20,336.2,346.0,335.0,342.5,1242,2007,9,20
2007-09-21,343.2,346.05,340.0,343.0,606,2007,9,21
2007-09-24,343.0,349.0,339.1,343.0,411,2007,9,24
2007-09-25,344.7,344.7,338.25,342.0,312,2007,9,25
2007-09-26,341.05,345.5,340.3,344.45,549,2007,9,26
2007-09-27,344.95,348.0,343.5,347.0,738,2007,9,27
2007-09-28,347.0,353.0,346.0,352.0,824,2007,9,28
2007-09-29,352.2,352.25,352.2,352.25,2,2007,9,29
2007-10-01,353.0,363.5,350.0,361.0,790,2007,10,1
2007-10-02,354.9,355.2,346.95,353.0,921,2007,10,2
2007-10-03,353.0,362.5,351.5,359.5,786,2007,10,3
2007-10-04,359.55,373.0,359.0,369.5,1448,2007,10,4
2007-10-05,369.0,373.9,367.5,368.8,957,2007,10,5
2007-10-06,368.5,368.5,368.25,368.25,6,2007,10,6
2007-10-08,369.5,370.75,360.25,364.0,506,2007,10,8
2007-10-09,365.25,367.6,359.0,366.5,593,2007,10,9
2007-10-10,366.5,380.0,365.55,377.5,1289,2007,10,10
2007-10-11,377.8,387.0,375.0,379.75,993,2007,10,11
2007-10-12,377.6,385.5,376.1,378.0,327,2007,10,12
2007-10-13,380.0,380.0,376.1,376.1,2,2007,10,13
2007-10-15,376.1,385.0,371.0,375.0,1004,2007,10,15
2007-10-16,375.5,378.0,365.1,376.1,978,2007,10,16
2007-10-17,375.45,376.8,368.0,372.0,390,2007,10,17
2007-10-18,374.6,376.5,371.95,374.75,289,2007,10,18
2007-10-19,374.75,375.0,367.1,369.0,234,2007,10,19
2007-10-22,371.0,371.0,355.0,364.2,479,2007,10,22
2007-10-23,364.6,367.5,363.0,364.0,210,2007,10,23
2007-10-24,363.05,364.0,360.1,361.5,222,2007,10,24
2007-10-25,362.0,368.8,360.0,368.25,621,2007,10,25
2007-10-26,367.75,379.9,367.75,375.75,586,2007,10,26
2007-10-29,376.1,381.0,373.25,375.0,327,2007,10,29
2007-10-30,375.0,375.0,368.0,370.55,250,2007,10,30
2007-10-31,370.55,373.75,369.0,372.25,150,2007,10,31
2007-11-01,374.95,377.95,371.3,375.3,309,2007,11,1
2007-11-02,375.45,377.95,367.1,377.0,319,2007,11,2
