date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-01,1184.0,1188.2,1183.5,1185.9,5976,2015,1,1
2015-01-02,1186.4,1194.9,1167.3,1189.8,91853,2015,1,2
2015-01-04,1187.8,1198.0,1177.8,1196.4,25516,2015,1,4
2015-01-05,1196.5,1208.2,1186.5,1206.0,121992,2015,1,5
2015-01-06,1206.1,1223.3,1205.4,1213.7,153658,2015,1,6
2015-01-07,1213.6,1218.5,1204.9,1209.9,107950,2015,1,7
2015-01-08,1209.8,1216.8,1204.2,1212.2,90987,2015,1,8
2015-01-09,1212.3,1224.0,1207.0,1223.4,105436,2015,1,9
2015-01-11,1223.0,1230.5,1222.3,1229.2,19659,2015,1,11
2015-01-12,1229.3,1242.0,1217.5,1235.9,116795,2015,1,12
2015-01-13,1235.9,1244.5,1224.9,1227.8,144885,2015,1,13
2015-01-14,1227.7,1244.6,1225.4,1229.5,153308,2015,1,14
2015-01-15,1229.5,1267.2,1226.1,1257.6,259359,2015,1,15
2015-01-16,1257.6,1282.3,1255.2,1280.3,149622,2015,1,16
2015-01-18,1280.7,1282.0,1275.2,1277.4,15271,2015,1,18
2015-01-19,1277.4,1279.3,1272.1,1277.1,55278,2015,1,19
2015-01-20,1277.2,1303.0,1275.8,1300.5,169453,2015,1,20
2015-01-21,1300.3,1307.0,1284.6,1291.8,169046,2015,1,21
2015-01-22,1291.7,1307.8,1279.1,1295.1,177892,2015,1,22
2015-01-23,1295.0,1299.8,1284.3,1294.1,95067,2015,1,23
2015-01-25,1292.8,1299.2,1289.7,1292.3,18523,2015,1,25
2015-01-26,1292.2,1293.9,1272.0,1278.5,117072,2015,1,26
2015-01-27,1278.5,1297.4,1277.3,1291.2,104492,2015,1,27
2015-01-28,1291.1,1292.7,1277.6,1282.5,70718,2015,1,28
2015-01-29,1282.3,1282.6,1251.0,1261.3,36137,2015,1,29
2015-01-30,1261.3,1285.4,1258.1,1283.7,131426,2015,1,30
2015-02-01,1282.6,1283.9,1279.1,1280.6,13473,2015,2,1
2015-02-02,1280.8,1282.8,1266.5,1276.2,107321,2015,2,2
2015-02-03,1276.3,1286.5,1255.8,1263.1,170642,2015,2,3
2015-02-04,1263.2,1274.6,1259.5,1272.4,116052,2015,2,4
2015-02-05,1272.4,1273.9,1256.1,1268.8,97887,2015,2,5
2015-02-06,1268.8,1268.9,1228.2,1233.3,175071,2015,2,6
2015-02-08,1235.9,1239.5,1234.4,1238.3,14631,2015,2,8
2015-02-09,1238.3,1245.5,1236.0,1244.7,78047,2015,2,9
2015-02-10,1244.7,1245.9,1230.6,1238.5,87794,2015,2,10
2015-02-11,1238.5,1238.7,1216.5,1222.1,112700,2015,2,11
2015-02-12,1221.9,1232.8,1219.2,1229.5,96402,2015,2,12
2015-02-13,1229.5,1234.9,1223.0,1227.9,75692,2015,2,13
2015-02-15,1227.5,1233.6,1227.0,1231.8,9258,2015,2,15
2015-02-16,1231.7,1236.7,1225.8,1228.0,38246,2015,2,16
2015-02-17,1228.1,1228.4,1203.3,1209.1,127464,2015,2,17
2015-02-18,1209.1,1217.4,1197.2,1216.3,109281,2015,2,18
2015-02-19,1216.2,1222.9,1205.2,1207.7,97591,2015,2,19
2015-02-20,1208.0,1215.3,1197.7,1203.4,91063,2015,2,20
2015-02-22,1203.5,1204.7,1200.6,1203.2,8490,2015,2,22
2015-02-23,1203.2,1210.3,1190.6,1200.9,101556,2015,2,23
2015-02-24,1200.8,1210.1,1190.0,1209.4,119867,2015,2,24
2015-02-25,1209.2,1211.7,1200.9,1210.0,81116,2015,2,25
2015-02-26,1210.1,1219.9,1206.5,1209.9,112847,2015,2,26
2015-02-27,1209.9,1219.2,1204.1,1213.7,90869,2015,2,27
2015-03-01,1213.8,1223.0,1212.3,1221.7,22363,2015,3,1
2015-03-02,1221.8,1223.0,1194.6,1209.6,128557,2015,3,2
2015-03-03,1209.7,1214.4,1201.1,1207.7,110389,2015,3,3
2015-03-04,1207.8,1208.1,1197.7,1203.5,91935,2015,3,4
2015-03-05,1203.6,1208.9,1195.8,1198.2,101083,2015,3,5
2015-03-06,1198.2,1198.7,1162.9,1168.2,177911,2015,3,6
2015-03-08,1169.6,1171.1,1166.3,1170.0,16376,2015,3,8
2015-03-09,1170.0,1174.4,1158.7,1160.2,97703,2015,3,9
2015-03-10,1160.2,1169.6,1153.8,1160.7,127285,2015,3,10
2015-03-11,1160.7,1163.8,1146.5,1152.2,124294,2015,3,11
2015-03-12,1152.3,1165.7,1147.5,1158.5,129170,2015,3,12
2015-03-13,1158.5,1160.8,1150.4,1158.4,85049,2015,3,13
2015-03-15,1157.9,1159.4,1152.7,1159.4,11677,2015,3,15
2015-03-16,1159.4,1163.3,1149.3,1154.1,90189,2015,3,16
2015-03-17,1154.0,1159.3,1141.6,1149.5,136873,2015,3,17
2015-03-18,1149.3,1177.0,1144.9,1169.7,165400,2015,3,18
2015-03-19,1169.8,1173.1,1158.6,1170.0,129166,2015,3,19
2015-03-20,1170.1,1187.4,1167.9,1181.7,123126,2015,3,20
2015-03-22,1183.2,1186.6,1180.4,1182.3,15798,2015,3,22
2015-03-23,1182.2,1191.0,1178.6,1185.8,104511,2015,3,23
2015-03-24,1185.8,1194.5,1185.3,1188.5,115674,2015,3,24
2015-03-25,1188.5,1199.8,1186.1,1198.9,101061,2015,3,25
2015-03-26,1199.0,1219.5,1197.9,1201.9,142173,2015,3,26
2015-03-27,1201.8,1205.6,1191.7,1198.3,74974,2015,3,27
2015-03-29,1198.0,1198.5,1191.3,1193.1,1411,2015,3,29
2015-03-30,1193.0,1193.9,1179.6,1181.7,11017,2015,3,30
2015-03-31,1182.0,1190.1,1178.2,1187.1,12146,2015,3,31
2015-04-01,1187.1,1208.7,1180.5,1203.3,135836,2015,4,1
2015-04-02,1203.3,1207.4,1194.8,1202.5,94270,2015,4,2
2015-04-03,1200.9,1200.9,1200.9,1200.9,1,2015,4,3
2015-04-05,1212.6,1218.8,1212.6,1217.1,17941,2015,4,5
2015-04-06,1217.2,1224.5,1211.0,1213.5,90886,2015,4,6
2015-04-07,1213.4,1214.8,1207.5,1210.7,75066,2015,4,7
2015-04-08,1210.7,1212.5,1196.1,1196.6,115753,2015,4,8
