date,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day,hour
2015-01-05 11:00:00,110000,1393.37,1407.92,1390.62,1393.34,1780844320,2015,1,5,11
2015-01-05 12:00:00,120000,1393.11,1417.28,1392.66,1415.88,2150515683,2015,1,5,12
2015-01-05 13:00:00,130000,1415.77,1431.58,1411.88,1430.16,2118873305,2015,1,5,13
2015-01-05 14:00:00,140000,1430.4,1433.79,1427.17,1427.92,1463657667,2015,1,5,14
2015-01-05 15:00:00,150000,1427.93,1432.53,1427.21,1427.68,1329451677,2015,1,5,15
2015-01-05 16:00:00,160000,1427.58,1431.18,1423.99,1429.46,1077300964,2015,1,5,16
2015-01-05 17:00:00,170000,1429.51,1433.98,1428.66,1429.03,1263762084,2015,1,5,17
2015-01-05 18:00:00,180000,1428.98,1431.72,1419.54,1423.29,1601833979,2015,1,5,18
2015-01-05 19:00:00,190000,1423.33,1438.86,1422.35,1435.66,2534447606,2015,1,5,19
2015-01-06 11:00:00,110000,1431.6,1459.59,1430.69,1458.44,2605739819,2015,1,6,11
2015-01-06 12:00:00,120000,1458.45,1465.99,1452.56,1465.29,4005103669,2015,1,6,12
2015-01-06 13:00:00,130000,1465.35,1473.23,1459.14,1470.49,2586817550,2015,1,6,13
2015-01-06 14:00:00,140000,1470.55,1477.71,1467.29,1472.46,2792557918,2015,1,6,14
2015-01-06 15:00:00,150000,1472.41,1473.46,1465.27,1465.72,2083459332,2015,1,6,15
2015-01-06 16:00:00,160000,1465.95,1468.42,1461.2,1462.48,1448427514,2015,1,6,16
2015-01-06 17:00:00,170000,1462.56,1466.17,1462.2,1464.26,1294098832,2015,1,6,17
2015-01-06 18:00:00,180000,1464.17,1471.71,1461.72,1471.67,1834858166,2015,1,6,18
2015-01-06 19:00:00,190000,1471.4,1481.3,1470.47,1480.73,2617752097,2015,1,6,19
2015-01-08 11:00:00,110000,1482.12,1511.42,1482.12,1507.2,3793864534,2015,1,8,11
2015-01-08 12:00:00,120000,1507.17,1526.4,1502.85,1524.22,5119217594,2015,1,8,12
2015-01-08 13:00:00,130000,1524.31,1533.52,1519.39,1531.43,4535801007,2015,1,8,13
2015-01-08 14:00:00,140000,1532.25,1541.78,1528.56,1537.56,4041287665,2015,1,8,14
2015-01-08 15:00:00,150000,1537.56,1549.24,1536.66,1545.54,2638183042,2015,1,8,15
2015-01-08 16:00:00,160000,1545.55,1560.16,1544.9,1559.32,2776821961,2015,1,8,16
