date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-05,1393.37,1438.86,1390.62,1435.66,15320687285,2015,1,5
2015-01-06,1431.6,1481.3,1430.69,1480.73,21268814897,2015,1,6
2015-01-08,1482.12,1564.76,1482.12,1547.39,35505063516,2015,1,8
2015-01-09,1548.77,1557.83,1496.18,1515.37,27223058410,2015,1,9
2015-01-12,1512.65,1534.49,1503.6,1513.22,23419055856,2015,1,12
2015-01-13,1513.52,1543.58,1499.57,1533.09,33133664935,2015,1,13
2015-01-14,1531.72,1559.99,1524.82,1554.46,32105492806,2015,1,14
2015-01-15,1563.74,1586.11,1555.36,1563.21,38679500660,2015,1,15
2015-01-16,1559.24,1594.06,1551.03,1591.43,30068854489,2015,1,16
2015-01-19,1590.23,1627.28,1573.09,1576.4,37167969626,2015,1,19
2015-01-20,1577.61,1594.86,1561.83,1570.97,31919504256,2015,1,20
2015-01-21,1576.15,1619.02,1571.23,1618.17,31259697570,2015,1,21
2015-01-22,1620.92,1676.37,1618.54,1666.56,50131522012,2015,1,22
2015-01-23,1670.42,1700.77,1662.12,1671.8,44311526698,2015,1,23
2015-01-26,1670.3,1670.3,1622.14,1642.37,36919529789,2015,1,26
2015-01-27,1625.05,1681.44,1614.92,1673.92,44461457724,2015,1,27
2015-01-28,1675.37,1706.29,1643.42,1647.71,43016957356,2015,1,28
2015-01-29,1645.56,1675.5,1639.65,1639.65,38654354336,2015,1,29
2015-01-30,1647.75,1664.73,1631.67,1647.69,41682092114,2015,1,30
2015-02-02,1648.95,1663.8,1616.32,1625.31,43204113857,2015,2,2
2015-02-03,1634.76,1667.51,1630.03,1654.36,36684677691,2015,2,3
2015-02-04,1655.63,1664.56,1643.24,1656.02,28406694409,2015,2,4
2015-02-05,1650.25,1698.76,1642.52,1696.06,47193997103,2015,2,5
2015-02-06,1698.92,1762.36,1697.84,1755.45,54221952383,2015,2,6
2015-02-09,1757.22,1829.66,1740.58,1748.55,63280101174,2015,2,9
2015-02-10,1745.98,1774.06,1729.84,1742.35,32450702270,2015,2,10
2015-02-11,1765.81,1787.76,1757.32,1763.6,38491876240,2015,2,11
2015-02-12,1767.65,1816.6,1748.02,1802.8,85319933357,2015,2,12
2015-02-13,1818.74,1839.71,1817.89,1838.18,75313894394,2015,2,13
2015-02-16,1838.65,1848.13,1785.67,1800.59,36790994748,2015,2,16
2015-02-17,1800.02,1842.49,1781.82,1793.82,52881168864,2015,2,17
2015-02-18,1799.34,1833.05,1799.34,1809.67,49388542824,2015,2,18
2015-02-19,1809.67,1819.83,1757.4,1797.87,47713577864,2015,2,19
2015-02-20,1803.06,1808.93,1780.03,1792.7,31928247145,2015,2,20
2015-02-24,1760.24,1774.82,1755.03,1772.16,29693757499,2015,2,24
2015-02-25,1772.46,1773.73,1727.7,1746.23,34882084448,2015,2,25
2015-02-26,1747.16,1769.48,1735.39,1760.66,40878525521,2015,2,26
2015-02-27,1757.71,1769.21,1741.08,1758.97,34816153558,2015,2,27
2015-03-02,1763.64,1789.54,1763.64,1783.34,28597842943,2015,3,2
2015-03-03,1782.85,1825.74,1769.63,1807.7,41033146650,2015,3,3
2015-03-04,1806.97,1816.21,1756.36,1759.35,32963701938,2015,3,4
2015-03-05,1767.31,1791.97,1746.09,1760.55,42976918874,2015,3,5
2015-03-06,1761.77,1766.8,1723.22,1728.55,28339130028,2015,3,6
2015-03-10,1716.82,1719.78,1663.89,1665.38,41262700014,2015,3,10
2015-03-11,1665.67,1692.31,1655.61,1671.47,36032409936,2015,3,11
2015-03-12,1673.06,1680.78,1656.37,1664.7,28247784352,2015,3,12
2015-03-13,1663.81,1668.95,1621.95,1627.88,34064154241,2015,3,13
2015-03-16,1623.57,1636.14,1609.85,1609.85,35828098909,2015,3,16
2015-03-17,1611.37,1627.54,1604.27,1611.69,33791281594,2015,3,17
