date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day
2015-01-12,62.971000000000004,63.351000000000006,62.0,62.965,1279863000,2015,1,12
2015-01-13,63.905,67.999,63.9005,66.279,1969005000,2015,1,13
2015-01-14,65.3005,66.65,65.3005,66.4995,1535326000,2015,1,14
2015-01-15,64.76899999999999,66.08,63.153,64.45,1612853000,2015,1,15
2015-01-16,64.8005,65.5,64.60300000000001,65.2025,1253180000,2015,1,16
2015-01-20,65.0425,65.282,64.7,65.12,1275694000,2015,1,20
2015-01-21,65.097,66.0405,65.0925,65.4585,1529972000,2015,1,21
2015-01-22,65.335,65.56,64.171,64.6665,1250760000,2015,1,22
2015-01-23,63.9545,64.66,62.813,64.23,1479538000,2015,1,23
2015-01-26,64.79,65.8795,64.79,65.7,1459586000,2015,1,26
2015-01-27,68.24,68.469,67.146,67.67,1667198000,2015,1,27
2015-01-28,66.859,68.0,66.4,67.84,1496023000,2015,1,28
2015-01-29,68.4,69.404,68.15,68.9,1332489000,2015,1,29
2015-01-30,68.7,71.742,68.2,70.49,1885115000,2015,1,30
2015-02-02,67.90100000000001,70.47,67.90100000000001,68.835,1647389000,2015,2,2
2015-02-03,67.70100000000001,68.297,65.55,65.98,1840300000,2015,2,3
2015-02-04,64.7,67.14,64.5,67.12,1611858000,2015,2,4
2015-02-05,68.875,69.0,65.911,66.899,1599438000,2015,2,5
2015-02-06,65.653,67.28699999999999,65.5,67.22399999999999,1435573000,2015,2,6
2015-02-09,66.21600000000001,66.9,65.1,65.73,1206681000,2015,2,9
2015-02-10,65.153,66.116,65.012,65.971,1101104000,2015,2,10
2015-02-11,65.589,66.439,65.5,66.25,941296000,2015,2,11
2015-02-12,65.48,67.47800000000001,64.5,66.221,1899771000,2015,2,12
2015-02-13,65.003,65.5,63.1,63.647,1343555000,2015,2,13
2015-02-17,62.81,63.1,62.126999999999995,63.09,1456128000,2015,2,17
2015-02-18,62.35,62.72,61.351000000000006,61.52,1378692000,2015,2,18
2015-02-19,61.89,62.548,61.601000000000006,62.5,1147149000,2015,2,19
2015-02-20,61.75,62.2,61.361999999999995,62.016000000000005,1292952000,2015,2,20
2015-02-24,63.894,65.454,62.841,63.09,1443746000,2015,2,24
2015-02-25,62.678999999999995,62.821999999999996,61.577,61.786,1319389000,2015,2,25
2015-02-26,61.091,61.202,59.75,60.873999999999995,1711889000,2015,2,26
2015-02-27,61.088,66.33,55.36,61.876999999999995,2117554000,2015,2,27
2015-03-02,62.001999999999995,62.5,61.71,62.26,1208233000,2015,3,2
2015-03-03,62.271,62.5,61.976000000000006,62.19,1086841000,2015,3,3
2015-03-04,61.952,61.977,61.52,61.8,920969000,2015,3,4
2015-03-05,61.96,62.06,60.622,60.85,793071000,2015,3,5
2015-03-06,60.298,60.52,59.196999999999996,59.55,1360545000,2015,3,6
2015-03-10,60.9,61.683,60.103,61.551,1356731000,2015,3,10
2015-03-11,62.2,63.02,61.6,62.08,1554729000,2015,3,11
2015-03-12,61.652,61.652,60.265,61.1,1030667000,2015,3,12
2015-03-13,61.115,61.761,60.544,61.1,1554521000,2015,3,13
2015-03-16,62.358999999999995,62.4,61.7,62.153,1104991000,2015,3,16
2015-03-17,62.01,62.031000000000006,61.41,61.88,1326630000,2015,3,17
2015-03-18,60.967,61.518,60.95,61.222,1086871000,2015,3,18
2015-03-19,59.589,60.246,59.31,60.126999999999995,1263090000,2015,3,19
2015-03-20,60.033,60.6,59.58,59.59,1235198000,2015,3,20
2015-03-23,58.722,59.869,58.55,58.6,1272542000,2015,3,23
2015-03-24,58.836999999999996,59.068999999999996,57.397,57.68,1405952000,2015,3,24
2015-03-25,57.7,57.97,56.589,56.78,2291139000,2015,3,25
